title,price,detail,ISBN,review
  Wicked: Legends of the Hallows Book 1 ,    $0.00   ,A cursed maiden. Four unruly knights. A chance meeting that will entwine their destinies.,,"[('Amazon Customer', '⭐️⭐️⭐️⭐️⭐️'), ('Ms.VioletGlikestoread', '🌶️🌶️'), ('Cat N', 'Wicked is the first installment in the adult fantasy romance series, Legends of the Hallows, by Adaline Winters and it was simply spellbinding! The plot was unique, fascinating, and captivated my interest immediately🥀🐉')]"
  The Final Viewing , $0.99 ,"Have you ever wondered what each person thinks when they are at the coffin to pay their last respects to the deceased? Dave is dead. Friends, family, and colleagues all come to say their final goodbyes to him. But, unfortunately, what their faces are showing isn’t necessarily what they are thinking.",,"[('Michael Briotte', 'I thoroughly enjoyed reading the The Final Viewing by Phil Cicio. It is a fast reading, page turning novella. The storyline is well written as each chapter cascades into the next giving the reader an insight about the characters and their interactions with each other. Many of these characters you may recognize in your own lives.  I highly recommend you read this novella, you will not be disappointed.'), ('Thomas Paolazzi', 'Great quick read.  I loved the booka s the characters.  The ending took me'), ('Vicki Johnson', 'By surprise.  I look forward to reading other books that you write.  Nice job Phil Cicio')]"
  Brana na Atlantiku , $58.00 ,Ships from,978-8660840372,
  Fashion Coloring Book For African American Girls: Little Brown & Black Girls With Natural Hair In Fun Stylish Beauty Fashion Style (Black Girls Fashion Coloring Book) , $7.99 ,Ships from,979-8680750322,"[('Elizabeth', 'Great unique coloring book. I highly recommend it.'), ('Yazmiyn J', 'I LOVE this is reminds me of paper dolls when I was younger'), ('G', 'My nieces love these pictures! The fashion options are cute and creative giving them the freedom to be more creative!')]"
  Katkad je dobro pročitati neku knjigu da ne ispadnete glupi u društvu , $58.00 ,Ships from,978-8660840464,
  The Nutcracker ,                                             ,"When a young girl rescues her nutcracker from an attack by mice, the nutcracker becomes a prince and takes her to the fabulous Kingdom of Sweets",978-0816710645,"[('J. Mack', ""I bought this board book decades ago and have loved it every year at Christmas with each generation of new kids in the family. It's simple and understandable. The illustrations are lovely. As a board book, it is exactly the right length.""), ('Nanasopinion', 'This is a wonderful short version of this story'), ('AJ', 'Beautiful illustrations and perfect size for toddlers and preschoolers')]"
  How To Talk To Kids So Kids Will Listen: Learn the most effective way to talk to kids so they listen and understand ,$3.99,Ships from,979-8391849315,"[('Sean Brownson', 'A great book for all parents, young and old. Some excellent tips that have already changed our household.')]"
  Luna's Bayne , $18.99 ,Ships from,978-1915904553,"[('Amazon Customer', 'I love this book so much, I recieved it today and I couldn’t put it down!! I absolutely love this book…A MUST READ!!!!!!!'), ('Amazon Customer', 'Love the book! Great Plot, Great Cover, GREAT EVERYTHING!!! Dedication and Hard Work Definitely Pays Off!💗')]"
  Bonnie Book-a Boy Named Peter and Other Stories ,                                             ,Child's fiction/picture book.,,
  Gledajte kako plešemo , $58.00 ,Ships from,978-8660840402,
  Ponekad se probudiš u Beogradu , $56.70 ,Ships from,978-8660840419,
"  I onda opet, iz početka ", $58.00 ,Ships from,978-8660840433,
  The Complete Companion for Aqa Psychology a Level: Year 2 Student Booka Level and Year 2 , $14.67 ,"Please note this title is suitable for any student studying: Exam Board: AQA. Level: A2 and Year 2 of A Level. Subject: Psychology. First teaching: September 2015. First exams: June 2017. The new Complete Companion for AQA Psychology: A Level/Year 2, Fourth Edition Student Book has been revised to match the AQA specification for first teaching from September 2015, continuing to provide students with exceptional study and revision support. Written by leading psychology authors, Mike Cardwell and Cara Flanagan, this book is designed to help turn understanding of psychology into even better examination performance.",978-0198338680,"[('Chloedanielle', 'This is a great textbook. The pages are clearly laid out with all the information needed for a topic on a double page spread. This makes learning and revision very easy as it is so clearly laid out. It covers the whole specification in great detail, allowing you to enter the exam with a great range of knowledge. The practise questions included make a great revision source'), ('Ben', ""Good textbook If not a little expensive. Great for revision very easy as it is so clearly laid out. It covers the whole specification in great detail, allowing you to enter the exam with a great range of knowledge. If you can get it 2nd hand I would definitely recommend it seeing as students aren't made of money and this is expensive along with all the other textbooks that are needed""), ('A Kendrick Thorpe', 'Excellent content, though I find the use of lightweight font against coloured backgrounds makes for a difficult read in places. Heavier weight font when used in coloured boxes would improve this.')]"
  Essential Oils for The Mind Body Spirit: The Holistic Medicine of Clinical Aromatherapy (The Secret Healer Book 2) ,    $0.00   , Essential Oils for Mind Body Spirit ,,"[('Tera', 'I have not finished this awesome book yet, but the part about emotions and how the oils can give you awareness, eliminate negative thoughts, balance your hormones, and have a profound effect on grief, fear, depression, self esteem, forgetting how your past has burdened you and living in the present for success and abundance, plus so much more was delightful, and empowering. I am getting off of my anti-depressant using ""The Feelings"" kit from Young Living, some supplements, much prayer and finding self love which is amazingly healing and freedom giving. There is so much info packed into this! You should definitely settle down in a warm and comfy spot with no distractions, a cup of tea, and have your diffuser running one of the oils (if you have the kit) such as Surrender, Forgiveness, Inner Child, Harmony,( to name a few) and just consume this book. It is life-changing my friends, and if you have the right brand, the right kind of oils to use you will certainly have that epiphany or spiritual awakening several times. It covers every inch of the systems, mind, body and spirit fully and easy to understand and read. I\'m so grateful to the author I feel like writing him a letter letting him know what his book is accomplishing in people\'s lives. Totally a must read!'), ('linmar', 'This is a really great book.  It presents info very clearly and is easy to understand.  There are so many books out there on the subject that say absolutely nothing, so I find it really refreshing to read the work of an experienced individual in the field.  She presents a clear picture of the chemistry of essential oils which has always felt so overwhelming to me.  The author is extremely witty and engaging.  I am enjoying this book!'), ('Anna Pageau', 'As with all her books it is a wealth of information. Diving into the mind body aspect is fascinating and something that all healers must consider.')]"
  Sezona berbe , $56.70 ,Ships from,978-8660840501,
  Knjiga za Maju improvizacija na duši , $56.70 ,Ships from,978-8660840457,
"  Delicious recipe book: recipe book_A blank notebook to write recipes for women, men and restaurant owners, 7/10 inch size and 120 adjectives, to write your recipes ", $7.99 ,Ships from,979-8653194665,
  Claris: The Chicest Mouse in Paris ,                                             ,"An infectious rhyming tale about courage, compassion and a stylish little mouse, from international fashion illustrator Megan Hess.",978-1760502591,"[('Amazon Customer', 'Perfect condition, adorable'), ('Amazon Customer', ' book.'), ('Mark', 'This is a sweet book about a little mouse who will appeal to all little girls who love dressing up and being glamorous and classy which includes being kind and helpful to others. The book was exceptionally packaged to keep it in perfect condition for shipping. I recommend the book and the seller.')]"
  The Amazing Backseat Booka-Ma-Thing: Thousands of Miles Worth of Hands-On Games and Activities , $17.99 ,"A hands-on book of backseat puzzles and games, including a sliding block puzzle, pinball baseball game and lift-the-acetate Magic Writer. All in all, an awful lot of all-quiet-on-the-backseat miles.",978-1570541698,"[('Amazon Customer', ""Fun book, it's great for the kids on long trips in the car.  We also bring it with us to restaurants to keep our 6 year old and 3 year old occupied during the wait times.""), ('Gillian', ""I found this book in our house, it is very used, I used to use it as a kid. But I'm an only child so a lot of the games I couldn't do myself because I didn't have someone else to play with. BUT it does have some good single player games.""), ('Kelly', ""I'm writing this review so that way people can look at my images and know what's in the book. I did not buy this book on Amazon. This book appeared one day when I was a kid and I'm 27 now. Spiral bounding is kinda wack and very plyable so mine is very belt out of shape. But it will keep your kid preoccupied! The pages are thick and hard which helps them keep their shape."")]"
 By the Book ,    $0.00   ,"Sometimes to truly know a person, you have to read between the lines. ",,"[('Amazon Customer', 'This was a great book and a fast read. It flowed easily and drew me in quickly. There was depth to the characters that you do not often see in contemporary romance.'), ('kssrq', 'I love this book. It’s so sweet! Jasmine guillory is really such an amazing author! This whole series has been so fun to read so far!'), ('Ashia', 'This was such a great book I read it cover to cover in 3 days.')]"
  When A Wife's Fed Up 3 ,    $0.00   ,"Everybody wants freedom. Financial freedom, time freedom, freedom from people, freedom from obligation, and just the autonomy to be free in every aspect of its bane existence. Freedom always comes at a price… usually a rather high one. In Kalena Henry’s case, the price she ultimately pays for her redemption, from the toxic marriage to her deceitful husband, Balla, will change her life and those around her forever.",,"[('Ladystr12', 'Child I thought I was at the end, then you hit me with another cliffhanger.  So Lena and Prezi in cahoots and took Bella’s money.  Wow!!!  And who took out Eli and Gizley? So much is going on?  When is the next book coming? I am ready for more.  Great series.'), ('Kindle Customer', ""As usual you didn't disappoint I was glad that Balla got his karma only because instead of him living in his truth he decided to abuse Kalena love for him cheat to over come all the mental about that he endured while being a child and for that his karma was justified, I didn't think Kalena should have been so hard on Roy when she had no problem sleeping with him while knowing he was her husband best friend over all it was a great book can't wait for part 4""), ('Karen', 'Great books. All 3 series in the book hand me wanting to continue reading. Then only to get to the final book and realized the ""to be continued"". I am anxiously waiting to see what happens in book 4.')]"
  Crochet Stitches VISUAL Encyclopedia ,    $0.00   ,Visual instruction for 300 crochet stitch patterns,,"[('H. Sylaj', 'Full of a lot of different stitches. Organized well. Good photos. Pattern charts as well as written instructions. Worth the price.'), ('NyxKai', 'No where does it tell you how to do any of these stitches. 100% useless. Glad i got it for free with kindle unlimited because this would have been a waste of money.'), ('LCS', ""While I've been crocheting for over 50 years, I've never learned to read charts. So I was really relying on the written instructions as stated, hoping to find to some new patterns. Completely insufficient written instructions. I wish I had not bought under Kindle so I could return it."")]"
  Dear Zoo: A Lift-the-Flap Book , $5.24 ,Ships from,9781416947370,"[('Amazon Customer', ""This book is soo cute and the kiddos love it! It's simple and easy for them to open the flaps!""), ('Amazon Customer', '""Dear Zoo: A Lift-the-Flap Book"" is a classic children\'s story that continues to captivate young readers. Written by Rod Campbell, this interactive book takes children on a delightful journey of discovery as they lift the flaps to reveal different animals sent by the zoo.'), ('Kenzie ', 'The simple yet engaging text and charming illustrations make it perfect for toddlers and preschoolers. Each flap reveals a surprise, adding an element of anticipation and excitement to the reading experience. ""Dear Zoo"" not only entertains children but also introduces them to basic animal concepts and develops their fine motor skills. It\'s a timeless treasure for every child\'s bookshelf.')]"
"  Devotion: An Epic Story of Heroism, Friendship, and Sacrifice ", $11.19 ,Ships from,978-0804176606,"[('Amazon Customer', 'Good as the movie is - the written word is even better! This book is / was very hard to put down because the story is compelling, the people are real, and their stories are remarkably inspiring. I strongly recommend it for anyone to read because there is so much to draw from it, to absorb, and to reflect upon. Worth an investment of your time.'), ('Michael Haller', 'Now that the movie adaptation (which I haven\'t seen) of this book is out and I\'ve seen all the Hollywood posters, I was expecting this book to be a singular ""human interest"" tale about two pilots of different races bonding and then accomplishing some heroic feat in combat. I\'m a fan of aviation and have always been fascinated by modern war history, so why not give it a go? But this book turned out not to be what I expected. It is indeed a remarkable war tale involving two exceptional men of different backgrounds. However it is also so much more than that. At Devotion’s core is a harrowing re-counting of the Battle of the Chosin Reservoir--one of the Korean War\'s most significant and horrifying battles--as told from the viewpoints of multiple real people both on the ground and in the air.*** The author attempts to put you into the frostbitten bodies of its main characters as they haplessly endure wave after wave of night attacks from bayonet-baring Chinese soldiers, all the while praying for air support that cannot come.'), ('Kathleen Tran', 'Starting from the book\'s second third, along came numerous educational tidbits for my brain: for instance, the war being ""Korean,"" I never knew how much of it was played out primarily by Chinese soldiers (the US was once kind of unofficially at war with China?!), who essentially surrounded and slaughtered some 800 American servicemen on their first pass. I never knew how weapons froze at night so commonly that skirmishes were won or lost via bayonet and hand-to-hand combat (ugh). I never knew that so many Chinese and North Korean POWs elected NOT to return to their home countries at the war\'s end (what a telling choice), and that the thorny issue of their repatriation was what kept the war going for so long.')]"
  Don't Let Her Stay: An unputdownable psychological thriller with a breathtaking twist ,$3.99,Ships from,979-8374567144,"[('Amazon Customer', ""A naive and scatterbrained thirty-three-year-old woman finds a blissful life with her new husband and three-month-old baby girl in a large countryside home outside of London. The wife comes to accept that her husband's twenty-one-year-old daughter will live with them for a short period of time. The wife looks forward to bonding with her stepdaughter -- they'll soon be one big happy family.""), ('Amazon Customer', 'As time goes on, the wife learns some unsettling aspects of her stepdaughter\'s life. And for the matter, her husband\'s past life as well. The daughter tells her stepmother: ""I think you\'re losing your mind just like your mother""; ""You\'d lose your head if it wasn\'t screwed on""; and ""Your baby doesn\'t like you.""'), ('Edubbiey', ""As the secrets spill out in the open, the wife becomes concerned for the safety of her infant. She'll do anything to protect her infant daughter's safety. Problem is she wonders whether she's actually paranoid or even insane as she's led to believe by her husband and stepdaughter. She struggles to find where the lie begins and where it ends."")]"
  Things We Never Got Over (Knockemout) ,$5.99,Ships from,978-1945631832,"[('Amazon Customer', ""5 STARS for Book 2 of Lucy Score's wonderful exciting Series: Knockemout. This is my first book by this author & I was impressed by her well written storyline with its excellent tempo cadence style of words & put together so smartly it made the reading of it as if singing a wonderful song. Great BLURB provided.""), ('Amazon Customer', 'Characters are terrific, you know if you pulled up to a gas station in that town that you would recognize everyone of them. Plus you wish they were real people so you could meet them & be friends with these crazy loyal stand-up people.'), ('Kindle Customer', ""This is Naomi & Knox's story which begins with him mistakens her for her twin sister, Tina. Boy, let me tell you, she hasn't had her caffeine yet today & sparks fly both ways. The sexual chemistry between them is charged in the air & people can see it, but they act as if they don't. Later the sex is highly electrifying."")]"
 Deception Point: A Novel ,    $0.00   ,"When a NASA satellite discovers an astonishingly rare object buried deep in the Arctic ice, the floundering space agency proclaims a much-needed victory, a victory with profound implications for NASA policy and the impending presidential election. To verify the authenticity of the find, the White House calls upon the skills of intelligence analyst Rachel Sexton. Accompanied by a team of experts, including the charismatic scholar Michael Tolland, Rachel travels to the Arctic and uncovers the unthinkable: evidence of scientific trickery, a bold deception that threatens to plunge the world into controversy. But before she can warn the President, Rachel and Michael are ambushed by a deadly team of assassins. Fleeing for their lives across a desolate and lethal landscape, their only hope for survival is to discover who is behind this masterful plot. The truth, they will learn, is the most shocking deception of all.",,"[('Amazon Customer', ""This is the first book I've read by Dan Brown, but it won't be the last. I loved it! In general, I enjoyed the flow of the story and style of the writing.""), ('Wendy K', 'I appreciated the technical and scientific descriptions that Mr. Brown found ways to explain more simply to those of us who needed it. He also gave wonderful locale details without being boring.'), ('Steve Daniels', ""I don't want to give spoilers, so I will just say,there are some twists and surprises I didn't see coming. This story kept the adrenaline running and I couldn't wait to find out what would happen next!"")]"
  The Wonky Donkey , $5.28 ,Ships from,978-0545261241,"[('Amazon Customer', ""My 3.5 yr old granddaughter LOVES this book. She wants it every night at bedtime. She's had it read so many times in just a couple of weeks she knows it by heart. If your children like a giggle this is the perfect book!""), ('Amazon Customer', 'This book is really funny. You should also You Tube the video of the Scottish Grandmother reading this book to her grandson, it’s absolutely hilarious!'), ('Jessica Dower', 'Hands down one of the funniest children’s books I’ve ever read. So much fun to read aloud!')]"
  Ugly Love: A Novel , $10.31 ,Ships from,978-1476753188,"[('Amazon Customer', '5 “liquid” “my new favorite words” “We’ve got this.”  Kisses'), ('Amazon Customer', 'Holy bananas Colleen Hoover just demolished  me. Completely and 100% blew me away…not that I’m surprised or anything because she never ceases to amaze me but…OMG! Let the book hangover commence because this one is going to be a doozy to recover from. I was pulled in from the beginning and giving the angsty ride of my life...and I loved every second of it!'), ('Lisa Maurer', 'Elizabeth Tate Collins...where do I begin with Tate. I freakin adored her...I couldn’t help myself. I can’t even tell you the exact moment when it happened or what pushed me over the edge…she took me by storm. Tate really is a force to be reckoned with. She’s so freaking smart…already a nurse at the age of 23 and pursuing her master’s degree in nursing…she’s driven, focused and determined…genuine, kind and caring…but she’s not a pushover. I loved her sense of humor…she’s sweet, funny and sassy. She’s got her own little quirks but I just found them more adorable. I liked her attitude and I think, as usual, the key for me was that I was totally emotional connected to her. Everything she felt…I felt. I related to her in some ways, but that wasn’t even the half of what drew me to her. Tate is a very compelling heroine…she’s just one of these extremely relatable girls that is easy to fall in love with…and it’s easy to see why Miles did as well..')]"
  S.N.U.F.F. : utopija ,Currently unavailable.,"Radnja romana smeštena je u postapokaliptični svet i bavi se odnosima dveju zemalja ‒ Urkaine (Urkainskog Urkaganata), koju naseljavaju „Orci“, i veštačke džinovske kugle Bizantiuma (Big Byz) koja visi iznad nje, naseljene „ljudima“.",8688335362,
  U Potpalublju (Serbian Edition) , $6.96 ,Ships from,978-8609004926,
  LYRICS BOOK: PRAISE AND WORSHIP COLLECTION: SCRIPTURE AND INSPIRED BY SCRIPTURE (Lyrics-without music-for songs) ,Out of Print--Limited Availability.,"Today—we need our worship life rebuilt in our hearts. We need to take in daily the “Word of God” and minister back to God. We need to welcome the Holy Spirit into our hearts in “Praise and Worship” and come together in “Songs and Instruments”—with one voice. God does not change; He was active in the lives of the people in the Old Testament and New Testament. He wants to show-up in our worship services, and in our personal worship. Let us come back to our “First Love”—Jesus Christ should always be “first-place.” We cannot let the world push us back from “Worshiping God” with all our hearts. We should continue to rebuild our worship to God—Jesus is coming back soon.I pray that all the lyrics in this book will be a blessing to your families and congregations. Let us welcome the Holy Spirit into our “Praise and Worship” and He will lead us into “Spontaneous Worship.” To God—we give all the Glory!",979-8518342903,
  The Unity Inn Cookbook ,Currently unavailable.,"Cook book cover has some staining, spiral in tact except for 4th one from bottom missing. ring stain on pg 71.",,
"  U pomoc, molim za oprostaj ",Currently unavailable.,,,
  Izdisaj ,Currently unavailable.,,,
  Poslednja rec ,Currently unavailable.,,978-8688335461,
  Zavod za nagadjanje ,Currently unavailable.,,978-8680830469,
  My First Bilingual Book?A Day (English?Portuguese) (Portuguese and English Edition) by Milet Publishing(2005-12-27) ,Currently unavailable.,,,
  Roundabout Book-A Basic Conceptual Skills Pre-Primary Activity Books ,Currently unavailable.,,,
  K.V.S LDC (Lower Division Clerk) Exam Practice Work Bookâ€”Hindi - 1364 ,Currently unavailable.,Good Practice Work Book.......,,"[('K', 'Good Practice Work Book.......')]"
  My Bilingual Booka??Touch (Englisha??Korean) by Milet Publishing (2014-02-01) ,Currently unavailable.,,,
  200 beautiful mandalas for stress-relief: mandala coloring book for adults | relexation | meditation , $19.50 ,Ships from,979-8655178342,
  Dino-Mites Sticker coloring Book-A Flying Adventure ,Currently unavailable.,Sticker/coloring/story book.,,
  MANGA Drawing Book 5: Manga Comic Sketchbook - Anime Comic Sketchbook - Colouring book to paint yourself , $9.99 ,Ships from,979-8636616603,
  My Frist Mathematics Enlightenment Book--A Pair and One(the third level for five years old children) (Chinese Edition) ,Out of Print--Limited Availability.,"This book is wrote for those mothers with unwavering belief in education boom. When you hear that """"this is the newest textbook that my child have learned it,do you feel anxious? At this moment, you should understand that you are the person who know your child. The elementary education of infancy is the first step of life education. And this book is a enlightenment education series of mathematics which starts with the most basic knowledge.",978-7533878900,
  SUPER HANDWRITING BOOK-A ,Currently unavailable.,,,
  Workbook of Untitled Red Tower 2023 new release , $18.99 ,Ships from,979-8863848266,
  Effective Software Project Management , $11.99 ,"Why another book on software project management? For some time, the fields of project management, computer science, and software development have been growing rapidly and concurrently. Effective support for the enterprise demands the merging of these efforts into a coordinated discipline, one that incorporates best practices from both systems development and project management life cycles. Robert K. Wysocki creates that discipline in this book--a ready reference for professionals and consultants as well as a textbook for students of computer information systems and project management. By their very nature, software projects defy a ""one size fits all"" approach. In these pages you will learn to apply best-practice principles while maintaining the flexibility that's essential for successful software development. Learn how to make the planning process fit the need * Understand how and why software development must be planned on a certainty-to-uncertainty continuum * Categorize your projects on a four-quadrant model * Learn when to use each of the five SDPM strategies--Linear, Incremental, Iterative, Adaptive, and Extreme * Explore the benefits of each strategic model and what types of projects it supports best * Recognize the activities that go into the Scoping, Planning, Launching, Monitoring/Controlling, and Closing phases of each strategy * Apply this knowledge to the specific projects you manage * Get a clear picture of where you are and how to get where you want to go",,"[('SirChan', ""I have taken many courses in project management who's techniques are more geared towards defined or construction style projects and so are most books out there in the market, this book is a refreshing departure from the norm as it integrates SDLC (s) both traditional and modern with project management processes. The author gives good insight in choosing the appropriate SDLC for a given situation and then elaborates for the chosen SDLC how to set expectations, milestones and deliverables for: requirements, WBS, cost, stakeholders etc. The book does a good job at conveying the essence of the SDLC(s) and Project Management techniques however, depending on your background, I recommend that you read two books, one on SDLC (Craig Larman's Agile & Iterative development ISBN 0131111558) and the other on Project Management (Kathy Schwalbe's Information Technology Project Management ISBN: 0619215267) prior to reading this book.""), ('John Matlock', 'This book tends to be more on the soft side of project management, which is important, however to give good balance I feel that the next edition could add more hardcore techniques and metrics. All in all, a very useful book for team leads, analysts, and managers involved in Software Development.'), ('Franck J. Gerard', ""Software is hard to manage. As I write this, the new Vista operating system from Microsoft has just been delayed again. If Microsoft can't manage a software project to get it on schedule, who could."")]"
  In Too Deep With A Cincinnati Hitta ,$2.99,Ships from,979-8838855541,"[('Yolanda Young', 'Let’s start with how good this book is, but after reading this 4 times the ending get me each time…. We need part 2 like yesterday…. Juicy got me so tight I need her to realize who she really is…..Jan’a you outdid yourself with this one but the ending you can’t be stopping like that LoL I just know part 2 gone release a lot of secrets…. Looking forward for more books I can’t wait until your next release'), ('TANICKA SHARNISE', 'When I say this book was good from beginning to end like I literally finish this book the same day it was that good buy juicy really was making me mad because gunna kept trying to tell her not to do this and stay safe but no she wouldn’t listen now look what happen she got kidnapped part 2 me please'), ('Kindle Customer', 'This storyline kept me interested until the end. The author did a very good job in keeping the mystery going. I liked Gunna and Juicy a lot. Looking forward to Part 2.')]"
  My Picture Book_A ,Currently unavailable.,,,
  Coloring Book Relaxation: 100 Mandalas :Mandala Designs for Adults Stress Relieving , $9.90 ,Ships from,979-8576618033,
"  Best Science Teacher gifts notebook journal with Glossy Cover Perfect Children, Students, Event, Friends , Family ", $7.99 ,Ships from,979-8746636836,
  In Too Deep With A Cincinnati Hitta 3 ,    $0.00   ,"In part three of In Too Deep With a Cincinnati Hitta, things are about to get spicier than they’ve ever been. With Booka no longer able to get the answers from his dad that he needs to move on, he’s forced to continue living his life as if betrayal means nothing, but with enemies coming from every corner, some known and some unknown, Booka will quickly realize that he has bigger problems than just some regular family drama. ",,"[('Yolanda Young', 'You snapped the characters I love them but baby I never been more happy to see a person die I can’t stand Keisha lol…. I can’t wait to see what happens next…. Mr.Rico can’t believe he was a snake never expected him to turn out this way….. I can’t wait to read what happens next for the rest of the gang they can finally be free'), ('Debra Hogue', 'Isabella have heart how did she killed a parent she should had kept her father alive so juicy to get to know him I guess she wanted juicy to herself Booka I would never admitted to killing his ex girl Booka and gunna should had another plan to save Bj keale love Booka and she is trying to be a good mom what happen to Martez Uncle Pooch son juicy and Gunna be was made for each other kelora finally got herself together did she ever get her kids back'), ('Gabbie', 'In the end everything came together. I’m mad Booka told them the truth and got 20 years hopefully he gets out in the next book. Keala act like she don’t need no kids she go a little too hard when speaking on her son. I wonder what Kylor gonna do about court? I’m happy Gunna and Juicy got their happy ending. I’m confused about Uncle Pooch soon though if he shot Rico Gunz how they didn’t have a chance to meet each other? Did he run away after killing him?')]"
  Sureplayaz Presents Electro House ,,"Sureplayaz is dedicated to bringing you the dirtiest upfront anthems available today. Electro House kick of the label with exclusive tracks plus full mixes from: Booka Shade, Freemasons, Tocadisco, The Egg, Walken, Till West, Laid, Dave McCullen + More",,"[('sharkone', 'This is best CD in my study. Very good to driver or navigate. Good reef..good synth s .')]"
  Police Officer Exam Prep 2023-2024: Study Guide + 300 Questions and Detailed Answer Explanations (Includes 4 Full-Length Practice Tests) ,Out of Print--Limited Availability.,Imagine,978-1998805136,"[('Amazon Customer', 'Very satisfied on this book have very good recomendable to Learn and practice about you the knowledge for the exam .'), ('lenny', 'I found this prep book to be very helpful. There are so many questions and answers to prepare you for actual exam scenarios. This is a great step to have you ready for any upcoming exam.'), ('Bryan olson', 'This covers much that you normally do not think about enhances your cognitive thinking')]"
"  Sun & Moon Coloring Book For Adults: This coloring book is full of happiness, smiling, beautiful For anyone who love SUN & MOON this book makes a nice gift for kids and boys ", $7.50 ,Ships from,979-8763428742,
  BULK LOT of 25 Chica Chica Bum Bum / Chicka Chicka Boom Boom (Spanish Version) - Perfect for Teachers , $12.59 ,,,
"  SWIFT REMEDY GUIDE FOR ARRHYTHMIAS: Topmost Survival Guide For Coping, Preventing, Treating, And Permanently Eliminating Symptoms ", $3.59 ,An erratic heartbeat is referred to as an arrhythmia. It indicates that your heart is not beating in its normal rhythm.,,
"  Jeff Landry-The Heartbeat of the South: A Political Journey, Visionary Leadership, and the Resilience That Transformed Louisiana ", $5.99 ,"In the vibrant pages of ""Jeff Landry: The Heartbeat of the South,"" embark on an extraordinary journey through the life and legacy of Louisiana's trailblazing leader. From the bayous to the Governor's mansion, this captivating biography unravels the compelling story of Jeff Landry, a man whose unwavering determination transformed the political landscape of the South.",,
  Nevazne tacke gledista , $58.00 ,Ships from,,
"  BBRGIRL DND Notebook/Journal,200 Page DND Books 3D Dragon Embossed Faux Leather Journal,Ideal for Dungeons & Dragons books/D&D Notebook,DND Gifts,Dungeons and Dragons Gifts,Dungeons Accessories ",$15.99,Ships from,,
  Planner organizer notebook-for goals-Motivational Book-A Daily Goal Setting Planner and Organizer with Inspirational and Motivational: Notebook / ... Productivity Journal/Instructions/Goal Getter ,Out of Print--Limited Availability.,This Goal Getter Productivity Journal is the perfect tool to plan out and accomplish all of your daily tasks!,979-8650161486,
  Planner organizer notebook-for goals-Motivational Book-A Daily Goal Setting Planner and Organizer with Inspirational and Motivational: Notebook / ... Productivity Journal/Instructions/Goal Getter ,Out of Print--Limited Availability.,"This Goal Getter Productivity Journal is the perfect tool to plan out and accomplish all of your daily tasks! This notebook will make you stick to your goals until you achieve them.""Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""Never give up because great things take time! – Organize your goals and make your dreams come true.- Notebook / Journal Gift - 100 Pages / 6*9 - Soft Cover / Matte Finish",979-8650177333,
  MANGA Drawing Book 9: Manga Comic Sketchbook - Anime Comic Sketchbook - Colouring book to paint yourself , $9.99 ,Ships from,979-8637578641,
  MANGA Drawing Book 8: Manga Comic Sketchbook - Anime Comic Sketchbook - Colouring book to paint yourself , $9.99 ,Ships from,979-8637571369,
  MANGA Drawing Book 10: Manga Comic Sketchbook - Anime Comic Sketchbook - Colouring book to paint yourself , $9.99 ,Ships from,979-8637592999,
  Becoming Vegan For Health And The Environment: Plant Based Veganism Guidebook For Beginners: Balanced View Of The Benefits & Risks Of Being Vegetarian , $2.99 ,Becoming Vegan For Health And The Environment: Plant Based Veganism Guidebook For Beginners,,
"  Fairies Journal and Coloring Book: With prompts, Fairy coloring pages, journalling, ", $15.99 ,Ships from,979-8473324532,
  100 Days Notebook-for goals-Motivational Book-A Daily Goal Setting Planner and Organizer with Inspirational and Motivational: Notebook/Journal ... Productivity Journal/Instructions/Goal Getter ,Out of Print--Limited Availability.,"This Goal Getter Productivity Journal is the perfect tool to plan out and accomplish all of your daily tasks! This notebook will make you stick to your goals until you achieve them.""Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""Never give up because great things take time! – Organize your goals and make your dreams come true.- Notebook / Journal Gift - 100 Pages / 6*9 - Soft Cover / Matte Finish",979-8650176510,
  Art Nouveau Inspired Animal Coloring Book: For Adult , $15.00 ,Ships from,979-8496849487,
"  Animal Mandalas: The animal mandala coloring book for adults and teens | Relaxion | Stress Relieving | Animals: Lion, Turtle, Owl, Wolf, Aries, Cat, Butterfly, Monkey and much more ", $9.99 ,Ships from,979-8655171411,
  Inky the Octopus' Quest: : An Epic Adventure of the Octopus (Creature Chronicles Collection) ,    $0.00   ,"Inky's Quest is a thrilling tale of an adventurous Octopus, Inky, who sets out on a dangerous journey, leaving his safe underwater home to explore the vast, unknown ocean. As he faces obstacles and battles fierce predators, Inky discovers the importance of friendship, trust, and bravery. Along the way, he meets a cast of memorable sea creatures, including a wise old turtle, a friendly dolphin, and a tricky octopus who teaches him the art of camouflage. Inky's journey takes him through dark crevices, coral reefs, and up to the ocean's surface, where he witnesses the beauty of the world above. Inky's Quest is a heartwarming story full of humor, suspense, and life lessons that will delight readers of all ages.",,
