address,price,bed,bath,area,car_spaces,specification,agent_names,agent_phones,property_id,pictures,url
"1  Armour Close, Glen Waverley, Vic 3150","$1,450,000 - $1,550,000",4,4,647 m² land size,2,"Prepare to establish family foundations in the Legend Park Estate on a north facing corner zoned for Camelot Rise Primary and Highvale Secondary College (STSA).,A grand floor plan offers magnificent sized living space with 4 bedrooms plus a study/5th bed, set over two levels for the ultimate flexibility.,The spectacular heights of the entrance void deliver a sense of dramatic space, with mountain views of The Dandenong Ranges enhancing that open, airy feeling.,For families wanting room for intergenerational living and to give every child their own bedroom, this substantial setting caters for modern family living with 2 bedrooms on each level, and a versatile extra room suited as a nursery or home office.,Spacious bathrooms, a fully featured kitchen with Euro appliances, ducted heating, air con and a garage with entrance on Avalon Ave provide all the essential comforts. ,Designed for plenty of outdoor adventure, with two pergolas, private fencing and a lovely park and playground at the end of the court. So close to schools you can walk, with a choice of shopping at The Glen, Vermont South Shopping Centre, Burwood Plaza and Westfield Knox, nearby Eastlink from city to the coast, and the Dandenong Creek Trail to walk or cycle to Jells Park.  ","Anna Du,Jackie Chen","04394179...,04337229...","Property ID: ,144666148","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d7bc868660e2b936eb1168eb2093c2fd088dc71a2a92b583d6abb0db7f65cf19/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0f2289c3077da49eeee999ef1e955ce25cab8333537f76410586a534e5fd9746/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0f2289c3077da49eeee999ef1e955ce25cab8333537f76410586a534e5fd9746/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c6dbaafccaceda8f375fa62e38cda065e4cee4b788984fffdbe883d60ce09bd4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e0409b5c97e4a40be9b9b97fea7f94a0f574991e2c313f79d1e94cd642acb4b/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144666148
"2/38 Danien Street, Glen Waverley, Vic 3150",$900K-$990K No Body Corp GWSZ,3,3,,2,"Rarely available yet highly coveted, this forward thinking home with no body corp fees, situated on a corner lot with its own driveway, embodies a perfect blend of light-filled space, easy-care living, with the option to maximise the untapped potential on offer. Just a stone's throw away from Glen Waverley Central, this residence offers a seamless flow of comfort and style.,An evergreen front garden invitingly draws you in, where you are greeted by polished timber floors as they lead the way into a home designed for relaxed and spacious living. Central to the home is the modern kitchen, overlooking the peaceful rear courtyard, featuring gas cooking and ample counter space, connecting to a cozy meals area and family room that leads to a covered outdoor deck for entertaining. ,The generously proportioned bedrooms all come with robes, the master bedroom enjoying private access to the main bathroom. Stylishly presented, the bathroom features a family friendly bath, shower and vanity, while a separate laundry rounds out the living spaces.,The real surprise begin with the lower level, which has been partially prepared to be converted to a full self contained living area, with available connections for a kitchen and bathroom, while the current living area can be easily partitioned to create a separate bedroom and open plan living room. The untapped potential is very clear to see, adding huge value to for the astute buyer.,The home is equipped with ducted heating, evaporative cooling, new carpets and stylish new blinds. A double garage and off street parking providing ample car accommodation. Situated in the sought-after Glen Waverley Secondary and Glen Waverley Primary School Catchment Zones (STSA) and just a short stroll to Glen Waverley Train Station, Village Cinemas, Kingsway eateries, and The Glen shopping centre, this property offers a lifestyle of convenience and comfort.","Tony Ievoli,Freeman Li 李","04228697...,04217802...","Property ID: ,144552680","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ecc7c972882581c755fb8e1a66a21ab291b0f2c351a0be70c9bb3772e28d0068/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ecc7c972882581c755fb8e1a66a21ab291b0f2c351a0be70c9bb3772e28d0068/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d622d559f334633d2123acafdf95e66c5084243e71fbb5008d983f0aedd6af71/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0973b9b064b7036675858e0bab49a563f0088799f12ff31329d9703871b7c891/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d2ab71151ff627eee692944951b8c43bc4993d0823420d2449a3644f101b2b82/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144552680
"1/24-26 Ivanhoe Street, Glen Waverley, Vic 3150","$1,100,000 - $1,200,000",3,3,,2,"With a warming aspect at the front of an appealing complex overlooking a leafy garden, this intricate tri-level town home will not only provide the space you require but offers plenty of outdoor areas to explore.,Step inside to an expansive, light-filled lounge with feature bay window and through into a brilliant, tiled open plan meals, family and modern kitchen precinct with stone benches, plenty of built in storage and stainless-steel appliances including a gas cook top and dishwasher.,Bedrooms with robes are housed away from the main living zones on the mid-level and both have proximity to the modern and bright main bathroom with shower, stone finished vanity and separate bath plus a separate toilet.,A place to retreat, reflect and rejuvenate for its lucky occupants, the hotel-style master bedroom takes up the entire top floor, incorporating a walk-in robe, matching ensuite, with air conditioning and its own private study/seating area.,This townhouse boasts two courtyards, the front leafy courtyard has amazing shade which is ideal for those summer days and nights, and a perfectly private courtyard which opens off the rear living area, has a northerly aspect and plenty of room to entertain while gas ducted heating, high ceilings and a separate laundry with direct connection to the downstairs oversized double garage are just some of the inclusions.,Currently leased until 16/9/2024 for $2,520 per calendar month.,• Intricate tri-level home with multiple living and dining zones,• Kitchen with stone benches, stainless steel appliances, lots of storage,• Open plan family and meals area,• Mid floor level bedrooms with robes, a modern main bathroom, separate toilet,• Top floor master retreat with walk-in robe, air-conditioning, ensuite and separate study/lounge space,• Private outdoor courtyard and garden,• Huge double garage with internal access,• Gas ducted heating,Perfectly positioned within walking distance to the Pinewood Shopping Village, Pinewood Primary School and the Monash Aquatic and Recreation Centre, close to The Glen Shopping Centre, Glen Waverley Station and Glen Waverley Secondary College, with easy access to Waverley Rd, Blackburn Rd, Springvale Rd, High St Rd and the Melbourne CBD via the Monash M1 Freeway.","Jeff Anderson,Julie Kakos","04112227...,04249147...","Property ID: ,144413684","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dbd29a91d561a7e24b035b2eefdae3f17ab85f9191500f9dec109243e61a0f11/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dbd29a91d561a7e24b035b2eefdae3f17ab85f9191500f9dec109243e61a0f11/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/30e99f096d7236ffa61b1b8b1017f433a343be951522e031ac35278b5e11cfba/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e36c8da2ba6bf68fd21b10b2cd251f389c93dc5fe3fd5587a7ea7b5cee42754/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2c1844b0725b15bd9df8ffa7bdd1d4ca9dae00169dce68ef1c73e1a763d21ed3/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144413684
"Type B4A/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,475,000",4,4,,2,"•	Three level, three bedrooms with an additional flexi room townhome provides generous living space with large glass doors that open to an entertainer’s backyard. ,•	This townhome is one of the larger residences in the estate. ,•	Spacious master bedroom with WIR ,•	Three additional upstairs bedrooms with a large family bathroom,•	Separate laundry room,•	Double garage,•	Abundant amount of storage and cupboards throughout including a outdoor shed,•	Large, landscaped backyard with paved courtyard,•	Suited for downsizers, upsizers or maturing families.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $126M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","Shin Fu,Sherroy Ong","(03) 901...,04234260...","Property ID: ,140791955","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791955
"31B Chapman Boulevard, Glen Waverley, Vic 3150","$2,600,000",4,4,,2,"An incredible off the plan opportunity exists here with this stunning architect -designed home which will be the first of its kind in Glen Waverley! This amazing residence, which will start construction in the beginning of 2024, will enjoy 4 bedrooms, 3.5 bathrooms, study, lift access, and 2 basement car spaces!,Sure to cut a striking image from the street with a façade that dazzles, this incredible home will enjoy an array of highlights including spacious central lounge and dining, sizeable upstairs family room, basement cinema room/gym, state of the art kitchen with all the modern trimmings plus a butler's pantry, WIRs and ensuites to 2 bedrooms, downstairs powder room, dedicated study, lift access to all levels, entertainer's deck, balcony off large master bedroom, and so much more! There is also plenty of stamp duty to be saved when you buy off the plan!,Zoned for Mount View Primary School and Brentwood Secondary College (STSA), you're located very close to Caulfield Grammar School, Jells Park, Dandenong Creek Trail, The Glen Shopping Centre, Wheelers Hill Shopping Centre, Glen Waverley Public Golf Course, buses, Monash Freeway and Eastlink.","Sergey Martynov,Jing Chen","04139554...,04762778...","Property ID: ,142514856","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/45b192d96d451a52b0817cb6e057f58ab91d701ddf161d13da65c644ee9923e0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4e161709687c65fd35deea8b1855a1799cc2fbab9ec7a7038ff656da4d57a65/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4e161709687c65fd35deea8b1855a1799cc2fbab9ec7a7038ff656da4d57a65/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e43e80643341a046267bd46e05911bde58a77e8920b3802d0b720511741c106b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5e33f87f756ae1794c00f976fdc374c37d97793eb8ddea2f3d16401245e1bf50/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-142514856
"15 Windella Crescent, Glen Waverley, Vic 3150","$850,000 - $900,000",3,3,"1,155 m² land size",2,"Set on a huge block just moments from schools and shops is this charming family home bursting with possibilities. Whether you are on the hunt for a forever home or somewhere with development potential, this property is a must-see.,Currently, the home is spacious and open-plan with a combined lounge and dining room as well as a kitchen with a meals area. There are three bedrooms, two with built-in robes and all serviced by the bathroom with a bath and separate toilet.,Beautiful wood floors flow throughout, paired with a white colour scheme and modern comforts including air-conditioning. The kitchen offers a gas cooktop and dishwasher while outside, the avid entertainer will adore the covered deck.,A detached single garage and a storage shed are on offer, along with an expansive backyard. Here, you could choose to potentially subdivide the lot or maybe build a granny flat to accommodate extended family or to off-set your mortgage (STCA). The choice is all yours and, if you choose to develop, you can always rent out the existing home while discussing your plans with the council.,For families, this spacious property is conveniently located close to schools including Glen Waverley Primary School, St Leonards Primary School and The Cheshire School, and the Glen Waverley South Preschool is within walking distance. It is just a 5-minute drive to the Brandon Park Shopping Centre while a host of parks are within easy reach including the picturesque Callaghan Avenue Reserve and the Fraser Street Reserve with a playground.,Disclaimer: We have in preparing the content used our best endeavours to ensure that the information contained is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospect purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Andy Yuan,Kay Lim","04062173...,04162604...","Property ID: ,141879964","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aef5180ef81e78a9ebd7ee26fac87efe378fa4cd9614b5cd5bf04fad763d638b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aef5180ef81e78a9ebd7ee26fac87efe378fa4cd9614b5cd5bf04fad763d638b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/68c8d2889e7f75a9413c88038a23ecadac2a0377b7c577085ee3f34df538fced/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ef4e04520b1f9e4dd79ae2646bace451b0bdecae4725fbe2ec7e921357554306/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1186a5748e55d1e5b2d1b93bcbe002a51cfb1e363de26240cb468b34d1f30ef8/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-141879964
"805/54 Montclair Avenue, Glen Waverley, Vic 3150","$1,287,000",2,2,,,"Introducing Kingsley, more than a fusion of Kingsway and Glen Waverley; it's a statement of refined living in the prestigious 3150 postcode. Nestled in the heart of one of Victoria’s premier shopping and dining precincts, Kingsley defines convenience and accessibility.,Step into a world of sophistication with Kingsley Penthouses, where panoramic views of Dandenong Mountain and an expansive open sky redefine luxury living. Revel in opulence with features such as glass-wall windows, dual-level high ceilings, and a liberating sense of space that transcends the ordinary.,On the lower level, seamlessly merging indoor and outdoor living, private terraces provide the perfect setting for open-air entertainment. The penthouses boast a German-built Miele kitchen equipped with top-of-the-line appliances, including a cooktop, rangehood, oven, microwave oven, and dishwasher, seamlessly marrying style with functionality.,Ascend to the upper level to discover two spacious bedrooms, each with its own bathroom and generous wardrobe space, accompanied by an additional study area. Kingsley ensures that every aspect of your living space exudes elegance and comfort.,Benefit from the prime location of Kingsley, with shops, schools, public transport, Monash Council, The Glen Shopping Centre, and more right at your doorstep. Enjoy the luxury of saving time and money on commuting, as everything you need is within walking distance.,*** Kingsley apartment topped out on September 26th, 2023.  The estimated completion date is March 2024. ***",Mayland Projects Team,04330085...,"Property ID: ,143981532","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6bbc9de8c560be70bd9da2b2b671705770b76c7bb5b0b9aa327e978563d44bcd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c212ed768acb36612830f91406f83b22dc682475d43eca0dc11a7b356b6729b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c212ed768acb36612830f91406f83b22dc682475d43eca0dc11a7b356b6729b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e07feb61e2be0bbef7f8a70553fca5d039af43c3203c3d17a5705f731446158b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/069ad3fbdfedef89c4d51834088e8c05575eaaed02a1e08e1f564add6b9991b6/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-143981532
"Type B6/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,565,000",4,4,,2,"•	A lovely east/west orientated double storey townhome with north facing windows,•	Well defined layout with individual dining and living space that opens to a balcony ,•	A multi-purpose room on the ground floor provides flexibility to be used as a study or home office.,•	A powder room and laundry are positioned on the ground floor,•	Double garage,•	Generous storage throughout including a storage shed in the back courtyard. ,•	Suitable for those looking to upsize or for maturing families that require additional space,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","Sherroy Ong,Shin Fu","04234260...,(03) 901...","Property ID: ,140791835","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791835
"11 Ralton Avenue, Glen Waverley, Vic 3150","$3,900,000 - $4,200,000",5,5,742 m² land size,2,"Overflowing with luxury and lavished with premium style and space, this brand new masterpiece sits in a class of its own and captures breathtaking city skyline views in the Mount View Primary and Glen Waverley Secondary zones (STSA). ,Indulging at every turn, the home's grandeur begins with a landscaped front garden and double entry doors that open to reveal a sumptuous foyer and formal lounge room that's detailed with parquetry flooring. ,Resting beneath 3.6-meter high ceilings, the kitchen, dining and family room flaunts first-class finishes and showcases a gas log fire, marble benches/splashbacks and Bosch appliances (induction stove, double ovens and integrated dishwasher) all centered around an island breakfast bench. ,The butler's pantry has been fitted as a fully functioning 2nd kitchen complete with a Fotile gas stovetop and Bosch oven, while the open plan domain spills out onto an alfresco zone with outdoor meal preparation space overlooking the landscaped backyard boasting mature plants. ,Adding to the indulgence, the home features a theatre room with projector and screen plus an upstairs rumpus room that's accompanied by a wet bar/coffee station and balcony where you can relish those city views. ,Flaunting luxury, the five bedrooms all feature walk-in-robes and ensuites, with the master bedroom boasting a study, fitted walk-in-robe, balcony and designer ensuite boasting twin vanities, a freestanding tub, rainfall shower and floor-to-ceiling tiles. ,Quality additions include a luxe powder room, laundry, golden hued tapware, ducted heating/air conditioning, double glazing, ducted vacuum, wall paneling, high ceilings, video intercom, CCTV, alarm plus a double garage with internal access and remote-control gated driveway. ,Capped off by its prized placement, walking distance to Mount View Primary, Glen Waverley Secondary, The Glen shopping centre, Glen Waverley station and the Kingsway restaurant hub. ","Julie Wells,Alice He","04088857...,04344158...","Property ID: ,144076360","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9ad5ad4432e09b8b4a73304320fcb5e710357e20e12ff4aec83657f5d6e543f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7574f61042beee03b6aa386be4793257566c517e0a602be5eebf4a1d6e709a54/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7574f61042beee03b6aa386be4793257566c517e0a602be5eebf4a1d6e709a54/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/882edb69ce5eb497a8c87b1d5b7f907b6b2ab71a4e3a9557edc991fa38acccd8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3d6c7d055868a18532ab4df4ff34e7167b27c3b7a2f5a3f2ce52a49b834454a/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144076360
"1/48 Hampshire Road, Glen Waverley, Vic 3150","FOR SALE $1,500,000",5,5,,2,"Uniting premium style with prized placement in the coveted Pinewood Primary and Brentwood Secondary Catchments (STSA), this brand-new townhouses offer a lifestyle of luxury for the discerning buyer. Staged across two stunning levels, the home's offer similar floorplans with the ground floor focused on open plan enjoyment with European Oak floorboards flowing throughout the living, dining and kitchen. A walk-in pantry ensures there's plenty of room to store all your kitchen needs, while the kitchen finishes reflect quality with waterfall stone benches accompanied by Euromaid appliances (oven, gas stove plus a dishwasher), soft close 2-pac cabinetry plus an island breakfast bench. The ground floor is complemented by a home office/5th bedroom, while benefit from a ground floor master bedroom with built-in-robes and ensuite, further served on this level by a powder room and laundry. Adding yet further space to relax, the upper level welcomes you with a retreat/living space that's accompanied by the three remaining bedrooms, all featuring robes and including a master bedroom with walk-in-robe and ensuite, supplemented by a family bathroom and separate toilet. Comforted year round by the benefits of heating/cooling, along with the appeal of a courtyard for outdoor entertaining, high ceilings, carpet to bedrooms, alarm, video intercom entry, LED downlights plus a double garage. Be quick to secure your place. Centrally situated near Pinewood Village, Brandon Park Shopping Centre, Pinewood Primary, Brentwood Secondary, Monash Uni, Monash Aquatic Centre, reserves, transport and Monash Freeway. ,Photo ID required at all open for inspections.","Alan Zhang,Darryl Wickham","04022000...,04105547...","Property ID: ,141635764","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c652ea4a36049644aee78dd760a2451643fe61a73efe8495289efa36167c9d16/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c652ea4a36049644aee78dd760a2451643fe61a73efe8495289efa36167c9d16/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/43b8830e8b6be7e751deabefea324a50ccfb9d5dc0732affdb3b454a2d82635e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/130c65af5394ece532917a204e4283909db96f80a03e5dc8c19ec770b45999bf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/895b4f5ce61749beeea99708ee0dc81f501857f99a46796d6ddc79f4bb668cda/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-141635764
"212/286-290 Blackburn Road, Glen Waverley, Vic 3150","FOR SALE $365,000-$390,000",3,,,2,"Lavished with space and loaded with lifestyle appeal, this 2nd floor apartment is a haven for first home buyers, couples and investors with its expansive indoor-outdoor design and desired placement only meters from Syndal Station. Immediately apparent from the moment you enter, the apartment's layout is larger than average and enjoys a glorious open plan living, dining and kitchen that's topped with stone benches and complemented by glass splashbacks and Blanco appliances including a stovetop, oven and dishwasher. Drawing in natural light whilst benefitting from a southerly orientation, the open plan domain extends out through floor-to-ceiling sliding doors onto a deep, full-width balcony where you can entertain with friends. Continuing to impress, the bedroom boasts mirrored built-in-robes and is serviced by a huge bathroom with toilet and full-sized laundry. Additionally complemented by a storage cupboard beside the entry door, split system heating/air conditioning, high ceilings, video intercom plus a basement parking space. Vibrantly set only meters from Blackburn Rd shops and restaurants, Fitness First, Syndal Station and buses, whilst close to The Glen Shopping Centre, Kingsway restaurants, Village Cinemas and the convenience of freeways.  ,Photo ID required at all open for inspections.","Alan Zhang,Shaun Lim","04022000...,04499803...","Property ID: ,143380160","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e711567e88c2e6f7e8aba3ea22f25b18fa255f12c62a0a13167436b075d9ffe8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/72b9dc5639747a9a07769e27251520a016b782490ba3bbfc202ee2ab78c76070/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/beb37fea133aed6b67f63fb2734a3e139c08ccb77a167d2fe711d465bc1b38d9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/177b150493bbe8ebfa9e73c606c4a9271cb5c39f756677584254c4376c00aa6f/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-143380160
"7 The Outlook, Glen Waverley, Vic 3150","$2,500,000 - $2,600,000",5,5,707 m² land size,2,"On a generous corner block measuring 707 sqm (approx.), and flaunting strong elements of postmodern design with large living areas, this 5 bedroom, 2 bathroom home offers a range of living options sure to catch the eye of a wide range of admirers.,This home consists of 4 large bedrooms including 3 of those with built-in robes, while a 5th bedroom in the rear wing is an ideal master bed with WIR, ensuite, and verandah overlooking an internal courtyard. Alternatively, this wing is well-suited for independent living with a fully equipped 2nd kitchen with quality appliances.,An inviting lounge and family room share a central open fireplace complete with stone counter, while the galley-style kitchen boasts a stainless steel Iive gas cooktop, oven & grill, dishwasher, and endless amounts of practical storage. Enjoy sun-filled days in the expansive dining area with its large cedar doors and windows offering views to a private courtyard, while a smaller meals areas caters for the daily routine.,Further home attributes include a central bathroom with stone-top vanity, shower, and a deep bath, a sunken study with exposed beams and rough-cut brick feature wall, courtyard entries front and rear with established gardens, double garage with remote and dedicated workshop, storage shed, separate laundry, ducted heating, and reverse cycle cooling.,Zoned for Glen Waverley Secondary College and Mount View Primary School, and in walking distance to Glen Waverley Station and The Glen Shopping Centre.","Ryan Yan,Christopher Pataud","04141452...,04811647...","Property ID: ,143382364","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/370f2b5b261ef78c96b4b021bdf3f81efd957dd803c7a4722049cfacbc8d863b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9b34b772ec385b5e4fc105f02516f6b943f64d3ba8b0b113f34eda191261c1f3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f875964c01310424af62c471f81f080841d308e9f11c9a6b595133d5b1c89eef/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143382364
"853 High Street Road, Glen Waverley, Vic 3150","$1,669,000 - $1,769,000",,,660 m² land size,,"Lock in your family's future or dream big and prepare plans for an exciting side-by-side development on this vacant parcel of land (STCA), that's set in the heart of Glen Waverley with zoning to the coveted Glen Waverley Secondary College (STSA). ,-660sqm approx. corner allotment ,-Service road frontage to High St Rd,-Zoned to the elite Glen Waverley Secondary College,-Walk to Glen Waverley Primary and Wesley College,-Meters from The Glen Shopping Centre ,-Steps from bus stops and a short stroll from Glen Waverley Station ,-Close to Larpent Reserve,-Potential for medical suites or residential development (STCA),A rare opportunity to make plans for this vacant site and make the most of the location that sees you situated only meters from the heart of Glen Waverley where you'll find The Glen Shopping Centre, restaurants and trains.  ","Nuria Jewell,Anita Meng","04500008...,04100008...","Property ID: ,203833692","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ac3c6fe64209d796a5a36f77f2cc94ff6e0d7960de302eef57e152fe4db78c59/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ba8822d738bc7f8f232ccd8ce8158fa11350cefdca4e49b6ecd6afe582fcce9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ba8822d738bc7f8f232ccd8ce8158fa11350cefdca4e49b6ecd6afe582fcce9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8944675055ce825df69cd1d69d711ccaab0cc8cfb03b334a78bd055ce7ba2e49/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/29ef50a00c068c4496c764c98cbf46608de8d09e467be5ee6f1115677676e0a4/image.jpg",https://www.realestate.com.au/property-residential+land-vic-glen+waverley-203833692
