address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures,url
"8 Moylan Road, Glen Waverley, Vic 3150",Contact Agent,6,3,725,2,"Occupying a prime corner allotment of 725sqm (approx) with vast 19.8m frontage, this 4 bedroom, 2 bathroom home plus fully self-contained 2 bedroom granny flat presents a wealth of opportunity just waiting to be explored. Sure to capture the attention of families, investors and developers, it offers excellent scope to breathe fresh life and completely renovate, or wipe the slate and build your dream residence or multiple townhouses, capitalising on dual street frontages (STCA). Lease out whilst planning for the future and make the most of a sought-after location within the Glendal Primary and GWSC zones, walking distance to Wesley College, The Glen Shopping Centre Glen Waverley train station, Glen Waverley North Reserve and close to Monash and EastLink Freeways.,*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.","Mannie Psarakis,04496567...,Zack Song,04303902...","Property ID: ,144627832","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0a65ad2dca15b77fb967410e7559b2883a09f610bc9e20eee65b81ef8ddff0c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e59fdbc031c3b68b6c91e6cfdcf8f86136ed66876d87088d9c3d9bab54990d6c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e59fdbc031c3b68b6c91e6cfdcf8f86136ed66876d87088d9c3d9bab54990d6c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dea26407f9212801a4f52af64e3c9d47b1139f10fa272935257a4654828ed351/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/54054112df46fe3b34261ab1b6261fdd19e41354c8e1f80f9c07149c6bf4e18c/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144627832
"583  Ferntree Gully Road, Glen Waverley, Vic 3150","From $1,260,000",4,3,,2,,0499 388...,,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7592da215d7712f95b4977369979e4a76c539e22e0028437403256769f444dd6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2898a5368c0b1696f85c6d927051f34eff645a76898a755d2707d2c52f5193a6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d857b47c87c81f4bec027cb57212e8a9b4706b76500c9870a9e27ef12e12195d/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/043d06a0a62dd08b31fa88266b27ccc430c5b7505094177ed3692a3f6f5b32fb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ac650f4068ac465ba711e5fe0a51cb732b866b42a764487f8c45d9d83a70a983/image.jpg",https://www.realestate.com.au/project/floret-glen-waverley-600036975
"Address available on request, Glen Waverley, Vic 3150","$4,600,000 - $4,960,000",5,5,745,2,"**FOR MORE INFORMATION PLEASE CONTACT ON KERRY HUANG: 0450 989 955**,**This property is open for inspection. In accordance to the Victorian Government guidelines, only fully vaccinated people will be able to attend the open for inspection/and auction for this property. Please ensure to scan the QR code at the property and present your proof of vaccination prior to entry.**,Majestically elevated and embracing magnificent Ranges views, this striking family home has been comprehensively renovated to deliver luxury and style in the dual school catchments of Glen Waverley Secondary and Mount View Primary School. ,Beyond the glass panelled front door, the home opens to reveal a sumptuous living room that's enriched with a picture window framing views and accompanied by a spacious study/home office with excellent walk-in storage. Rising upstairs, a spacious lounge and dining room awaits your entertainment enjoyment and offers the appeal of a fire place plus multiple doors that extend out onto the fabulous front balcony with breathtaking Ranges views. The modern kitchen boasts quality appliances and rests alongside a spacious meals zone, while a private family room spans out onto the northerly oriented entertaining deck with Bali hut and adjoining low-maintenance backyard. Carried over the two levels, there are five bedrooms, including a master bedroom with built-in-robe and ensuite, supplemented by two designer bathrooms each with a toilet plus a separate 4th toilet and full-sized laundry with workbench. Further enhanced by ducted heating, split system air conditioning, high ceilings plus excellent off-street parking. ,Placed in the prized GWSC and Mount View Primary Catchments, within walking distance to The Glen Shopping Centre and Glen Waverley Train Station, near Monash and EastLink Freeways.,*Photo ID and mask are required on inspection.,*Due to COVID regulation and attendees limitations, attendees must register prior to attendance.,COVID ADVICE:,*All inspection attendees are required to wear a mask or face covering. Our Agents reserve the right to deny access to attendees where Covid instructions have not been adhered to.*,With the well being of and health of our staff, residents, clients and contractors as our main priority it is our responsibility to advise of the following processes we are implementing in line with the State Government and WHO regulations to prevent the spread of Covid-19:,Should you be experiencing any of the following, we request that you do not enter the property and advise our Agents before scheduling an inspection:,Are showing any symptoms of illness/cold/flu,Have tested positive or been in contact with someone who has Covid-19,Have returned from travel overseas the last 14 days,Are currently under quarantine,We thank you for your attention and respecting the health and safety of our workplace.","Kerry Huang,04509899...,Joyce Liu,04669688...","Property ID: ,139687243","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5f15b69e682e41d438bfb76834d6237b1a1d594cdad1f88512e10c69e73f6a74/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5f15b69e682e41d438bfb76834d6237b1a1d594cdad1f88512e10c69e73f6a74/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a37f0674653eafc8cf434913db986dbea36d8193bbb636b3ac2918fc0345379a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agent/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1823338fa6e3b42776b5b1acf906295c8567cc057b8d982e24afed2ca10f15a1/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-139687243
"31 Olinda Street, Glen Waverley, Vic 3150","$1,700,000 - $1,800,000",4,2,730,2,"Brilliantly positioned in one Glen Waverley’s most highly desired pockets, this comfortable 4 bedroom, 2 bathroom home delivers options for pursuing new home site plans (STCA), renovation or capitalizing on development potential for two 31/32sqm luxurious streetfront townhouses. Ideal for families seeking a move in ready or lease out opportunity, immaculate spaces provide an inviting lounge, kitchen, family/meals area with raked ceilings, ducted heating, split system AC, huge rear garden, tandem garage and ample off street parking. Zoned for Brentwood Secondary College, close to Glen Waverley South Primary, Brandon Park Shopping Centre, The Glen, Central Reserve, Glen Waverley train station, Wesley College and Freeway access.","Lily Chen,04037078...,Vincent Chang,04210300...","Property ID: ,144231548","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/abeee3b6a384ea0b8cdcdb996ca37960b95790c8aac22f17f51f81d75ad99dcc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e5eadb3557a38990abf652f7afc905b325df7cf995840b34cb2600ba5bdb99e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e5eadb3557a38990abf652f7afc905b325df7cf995840b34cb2600ba5bdb99e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/184678577a3080748b929484092fd7e6ccb9dd45f73055e29515d4101d211b93/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ea5e3b04e2482bca21daa48fd13137daa6d456b70d8a2a54bfb5c808f1f4eaa4/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144231548
"1/20 Myrtle Street, Glen Waverley, Vic 3150","$2,450,000 ",4,4,383,2,"Exclusively refined with an elegant French Provincial profile, this imposing corner residence mesmerizes with its seductive open plan design, soaring high ceilings and luxury appointments.,Drawing you inside, stunning herringbone floorboards provide a cohesive flow from the open entry foyer and into the lavish kitchen, living and dining zone incorporating waterfall stone benches, glass splashbacks, 900mm appliances, Bosch dishwasher, soft-close cabinetry, island breakfast bench and walk-in-pantry, while a 2nd kitchen and an alluring entertaining deck provide added appeal for the avid chef and those who love to entertain.,Towards the front of the home a generous guest bedroom boasts a walk-through-robe to dual vanity ensuite, supplemented by a separate toilet and laundry. While a spacious retreat, study zone and balcony are placed upstairs along with the three additional bedrooms, each with walk-in-robes and ensuite, including the lavish master suite with sitting zone and walk-through-robe to dual vanity ensuite featuring a stone vanity, rainfall-effect shower, freestanding bath and toilet.,Luxury appointments include, keyless entry, ducted heating refrigerated air conditioning, alarm, intercom, CCTV, floor-to-ceiling tiles in all bathrooms, cloak/shoe closet, under stair storage, water tank, remote-controlled front gate plus a double garage with internal access.,Positioned in an exceptional location, within the GWSC zone with an easy walk to Aquatic Center and library, Glen Waverley Primary School, Glen Waverley Station, Glen Waverley Secondary College, Wesley College, Kingsway and The Glen Shopping Centre.","Bruce Liu,04245761...,Jackie Ji,04331610...","Property ID: ,144336812","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/89d6df7a50c787b63f07721abf6b742f0e32e64a09d7cb54b7aa8cdfca6499f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1315a26db9d62d0ea7b9aa762e428d23eb121f4f4a30b9d787f0e5f466d3138c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fc9637182588235e7f258e1bf0c3c178d5e06aeb48b14bf6a76e3280a9316254/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144336812
"96 Callaghan Avenue, Glen Waverley, Vic 3150","$1,700,000 - $1,870,000",5,3,664,2,"Aptly named 'Dynasty' by Henley Homes, you can expect wall-to-wall regal appeal across the grand proportions of this stately family home. Set in a leafy cul de sac that lets you walk to Monash Aquatic Centre and the street's own reserve and duck pond, the home's bold corner street presence is matched inside by a stylish top-to-toe refresh in timeless grey tones for blissful family living in the school zone for Pinewood Primary and Brentwood Secondary College (STSA).,Set over two light-filled levels, the expansive layout offers 4 spacious living rooms in which to work, rest and play – with soft carpet underfoot in the lounge and rumpus, and easy-care hybrid floors drawing across the family wing.,Subway tiling and top tier new appliances grace the contemporary kitchen, with plenty of indoor-outdoor connection across to the outdoor room and its dramatic skylights.,For intergenerational living and remote working, the ground floor office/bedroom sits alongside a full bathroom – ideal as a quiet work-from-home space or as a convenient ground floor living retreat for live-in parents.,Open rainfall showers, stunning tiling, and floating vanities enhance the luxury of the top floor bathrooms, with the street facing master suite enjoying its own balcony set amid the treetops. ,A fully renovated residence close to schools, the pool, Pinewood Village and The Glen, and picturesque walking tracks promises absolute sanctuary for the family, ready to welcome its next family 'Dynasty' to the top end of Callaghan, a mere 500m (7min walk) to Monash Aquatic & Recreation Centre and Glen Waverley Tennis Club like your very own country club estate.","Jourdain Creigh,04300122...,Anita Meng,04100008...","Property ID: ,144509648","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1a2006e1f7d3f1a8fa3cc225f61dbd6c20aafd407dc1bb72a65d2aff87e53d8e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ccd9ad77c6ab866f9a70ff9e7415818c4f284fdede03bb35d8d4a894e5e09936/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ccd9ad77c6ab866f9a70ff9e7415818c4f284fdede03bb35d8d4a894e5e09936/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/be829587b419f022082ba0ea0a36661311a5357ca3cd7492992850f4c8a8d6e1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c9b5fc8f3f0f0c5aebed95e5ff9be4ad93ef698260db9b6978afa55f85bd1c06/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144509648
"201/1 Frank Street, Glen Waverley, Vic 3150","$420,000 - $460,000",3,3,,2,"Welcome to The Frank St Apartments, located in an exceptional location of Glen Waverley, minutes from everything the area has to offer. , ,This property will appeal to those who appreciate not only the magnificent & quiet location of Frank St but also of the high quality interior/exterior design of this particular building. , ,Unit 201 is a spacious and well light 1 bedroom apartment. The features of the property are as follows;,- Spacious Open Plan Living,- Large Balcony,- Quality Fixtures & Fittings,- Stone Bench Tops in both Bathroom & Kitchen,- Quality European Stainless Steel Appliances,- Dishwasher,- 5 Burner Gas Cook tops,- Reverse Cycle Heating & Cooling,- Built in Robes, ,The building itself features secure basement car parking & storage facilities, elevator access to all three levels and security swipe cards for all entry points., ,The location of these apartments is also something to take into mind. Something to impress almost everyone!!, ,The Frank St Apartments are within walking distance of:, ,- The Glen Shopping Centre,- Century City Entertainment Complex,- Glen Waverley Train Station,- Glen Waverley High School & Wesley College,- Waverley Aquatic Centre & Other Recreational Facilities Including Large Parklands., ,Don't miss out on this amazing opportunity, make you move into your new home now!, ,WE ARE LOOKING FOR AN IMMEDIATE SALE. INSPECTIONS ARE A MUST. PLEASE REGISTER YOUR DETAILS NOW. ","TAS Sales Department,03 9826 ...","Property ID: ,144541416","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9e4fbef7490e7a7afc0991ca747043f7a9f08fa7475d2c9f8641a2808d393ab7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e2838da6d52d738a628b79885698f4d044882256304eb11d67acf67088c95499/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a7bd2d997249ca938049aad565f9c8539be78aa7499df05f30859035d709d20c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b6901cd16eb30735ce93fe569c8cae0b9e808b5b75ecd2ccb64f9b58c7efc069/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d61e8f87bdaf79c7b5489bfc6a75c6b8bf839e6eea7d65d286bd0f0dab9ec8d5/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144541416
"91/42-60 Capital Avenue, Glen Waverley, Vic 3150","$530,000 ",,,,,"Delight in this beautifully presented one-bedroom unit, boasting a modern refresh with new paint and floor coverings. The open-plan layout with a separate dining area opens to a charming private garden, perfect for relaxation.,Some of the key features of this unit include;,• Freshly updated interior,• Open-plan living with distinct dining area,• Private garden for tranquil outdoor living,• Lovely wooden deck for entertaining,• Kitchen with ample storage and bench space,• Convenient separate internal laundry,• Well-appointed bathroom with walk-in shower,• Split system heating/cooling for year-round comfort,• Ideal for low-maintenance lifestyle seekers,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle.,This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle.,Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Pet-friendly village,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers, barbers, and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Don’t miss this opportunity to make this home your own. Enquire today and book a tour.,*Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units such as furniture and other decorative items.",1800 550...,"Property ID: ,142149768","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg",https://www.realestate.com.au/property-retirement+living-vic-glen+waverley-142149768
"13 Torwood Avenue, Glen Waverley, Vic 3150","$1,635,000 ",4,2,629,2,"A peaceful single level sanctuary on a quiet avenue, this thoughtfully designed four bedroom, two bathroom home delivers a perfect combination of light-filled spaces, ripe for the growing family.,Featuring a swimming pool and a rear gate out to a parkland trail to the Napier Park playground, there are three distinct living zones that everyone will enjoy. The spacious lounge/dining room flows to the elegant kitchen with stainless steel appliances, the meals/family room an under-cover alfresco. Crowned with vaulted ceilings, the rear rumpus room extends out to a sunny pool-side deck.,Zoned for Mount View Primary School and Highvale Secondary College, walk to the bus stop for a quick trip to The Glen Shopping Centre, train station, Wesley College and Monash University.,- Fabulous four bedroom, two bathroom single level home,- Three spacious living zones,- A swimming pool,- Under-cover and open alfresco areas,- Master bedroom with ensuite,- Rear gate to a parkland trail,- Double garage,- Ducted heating and split system air-conditioning,- Walk to the primary school,- Catch the bus to The Glen, the train and Wesley College,---------------------------------------------------------------------------,Live Streaming via GAVL,McGrath clients have the opportunity to watch, bid and buy on live property auctions.,Register through www.gavl.com and follow the property link:,https://x5u9a.app.goo.gl/Dvgs,To be able to bid online, you must download the free GAVL App. ","Wilson Shi,04204812...,Ripple Wu,04339030...","Property ID: ,144240472","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7031adbb56286a1a18f605e4326e5d15822d4dbdac62d36c65a5add9055b5e57/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7031adbb56286a1a18f605e4326e5d15822d4dbdac62d36c65a5add9055b5e57/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3fbfe9954a1363e0d9f3b3120d4882cfcd930e39a20ddae417a6d317af6b2835/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dfbbfa8918395ff4222b604a508e6a9586a401d044571e8e4e98554ca645b0a0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1e3208e403189167a5c1f9e91aa7aaf78cbbd0c78a49770b1482694afb0881a9/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144240472
"26 Silverwood Way, Glen Waverley, Vic 3150","$1,200,000 - $1,300,000",3,2,404,2,"Celebrating family life with dual living zones and a sunlit design, this Silverwood Estate home embodies a wonderful indoor-outdoor aura with a beautiful garden courtyard to one side and alfresco entertaining to the other. ,Superbly designed to peer out into the entertaining zone whilst opening onto  garden fully reticulated, the formal lounge room is accompanied by a spacious dining area where mealtimes can be enjoyed with the family. ,Stylish floorboards entice you through to the generous kitchen boasting a Blanco gas stove, Kleenmaid oven, Fisher & Paykel dishwasher plus an adjacent family room that's embraced by windows. ,Achieving the perfect fusion between inside and out, sliding doors open onto a northerly oriented alfresco entertaining zone that's paved for easy maintenance and perfectly sized for relaxed afternoons with friends. ,Adding to the home's family friendly credentials, you'll find three robed bedrooms complete with a master bedroom boasting mirrored built-in-robes with dressing area and ensuite, accompanied by a family bathroom, separate toilet and laundry. ,Comfort is comprehensive with the inclusions of ducted heating, evaporative cooling, split system air conditioning, ducted vacuum, alarm, high ceilings, garden shed plus a automated double garage doors with internal access. ,Zoned to the much-admired Mount View Primary and Highvale Secondary College (STSA), near Wesley College, Caulfield Grammar, The Glen Shopping Centre, buses, Glen Waverley Station, Jells Park, Dandenong Creek Trail and EastLink. ","Anita Meng,04100008...,Nuria Jewell,04500008...","Property ID: ,144510812","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3c6fd8183d1ea4c3e7a1219ac1e604874668d9bb12ca93d6665f0b986b007a31/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b9caf56f31f0f307401450d7efcb671d999eafa8f82ea73ec9620dd32a9140f6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b9caf56f31f0f307401450d7efcb671d999eafa8f82ea73ec9620dd32a9140f6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3c9c58d57c9be53fd0537768c643cf1a3df54c89522abc21bcfd310fdf9af239/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c6f3396f538b7a36c8982b76a0edadd1d9ab00c5a7d16e04211592387383c6b5/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144510812
"23 Diamond Avenue, Glen Waverley, Vic 3150","$1,580,000 - $1,650,000",4,2,663,2,"Open for inspection at 10:00am - 10:30am This Saturday 06/April/2024,& at 11:00am - 11:30am This Sunday 07/April/2024,* Within Glen Waverley Primary School & Highvale Secondary College Catchment Zone (STSA),* Frontage: appx.18 metre wide x 37metre depth,Set on a regular block of approx. 663m2 in central Glen Waverley & perfectly positioned within walking distance to Glen Waverley Primary School & Highvale Secondary College and The New Glen Shopping Centre just up the road, this well kept family home was renovated with a family focused floorplan & quality family lifestyle in mind.,• Quiet family friendly location within walking distance to local primary and secondary schools including Highvale Secondary College, Glen Waverley Primary & Highvale Primary School,• Offering exceptional living spaces, with a family friendly floor plan with formal lounge room, separate dining ,• Four sizable bedrooms including 3 with BIRs plus a home office or study and 2 modern bathrooms with a dual basin vanity & skylight,• Sparkling modern kitchen equipped with quality appliances, extensive Caesarstone benchtops & abundant storage space;,• A covered pergola is overlooking outdoor gardens, double lock up garage, garden shed + wide driveway offering more parking space;,• Gas ducted heating throughout, polished Tassie Oak hardwood floorboards plus split-system air conditioning; ,• Update the original home or re-develop a brand new luxury home with breath-taking views of The Dandenong Ranges, the option is in your hands (STSA),• Super conveniently located within close proximity to all desired amenities and services,Conveniently located in a highly sought-after neighbourhood, within the Highvale Secondary College catchment and walking distance to Glen Waverley Primary school and near a short stroll to The Glen Shopping Centre and Kingsway Dining Strip, Bushy Park Wetlands, Jells Park, reserves and public transport easy access to Glen Waverley train station & EastLink motorway, this family home is sure to be impressive.,Contact Jerry Zhu 0401 753 099 for more information.,PHOTO ID REQUIRED AT ALL OPEN FOR INSPECTIONS,INSPECTION TIMES are subject to change without notice,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospect purchasers should make their own enquiries to verify the information contained in this document and refer to the due diligence check-list provided by consumer affairs. Click on the link for a copy of the due diligence check-list: http://www.consumer.vic.gov.au/duediligencechecklist","Jerry Zhu,04017530...,Francis Leung,03988751...","Property ID: ,144378892","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5e2cae81880f4580a75c43daf74f1c5ebd97778c2b550fd1f7b8bed9a4bd7c0a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/75c0ef38025cf97e65711ac71e9b86874ca3d191a42c9fdf9fb6ccf19943ba67/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/75c0ef38025cf97e65711ac71e9b86874ca3d191a42c9fdf9fb6ccf19943ba67/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dad4eb030b9c5657263465bd1cd5b2eef5861304abc62712afee2cddc3a53d76/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d2d538e9a01a6b5a613df803b45558b6ec70bb86c706d69b22052cb4b3cb6e1c/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144378892
"Cove Floorplan/42-60 Capital Avenue, Glen Waverley, Vic 3150","$90,000 - $120,000*",,,,,"Feel at home in this welcoming and peaceful serviced apartment apartment floorplan with everything you need for a comfortable and stress-free living. Don’t miss this opportunity to live in one of our Cove apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• a kitchenette,• a living/bedroom space with built-in closets, and a private bathroom,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,--Next Steps--,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. *Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",18005505...,"Property ID: ,143854160","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg",https://www.realestate.com.au/property-serviced+apartment-vic-glen+waverley-143854160
"104 Springvale Road, Glen Waverley, Vic 3150","$900,000 - $990,000",3,2,359,2,"Presenting first homebuyers and investors with an increasingly rare opportunity to get a foothold in the property market, this home enjoys a stylish carefree design only a short walk from The Glen Shopping Centre. ,Accessed via the service road with a secure portico entry, the home's flowing design takes you through to a light-filled lounge and dining room that's been updated with modern flooring for a fashionable feel. ,The adjacent kitchen is neatly presented and boasts a Blanco stove, Blanco oven, stainless steel dishwasher, glass splashbacks and double sinks, while sliding doors entice you out onto the entertaining zone with Dandenong Ranges views. ,Whether you're just starting out or accommodating a family, you'll appreciate the inclusion of three bedrooms, accompanied by a family bathroom, separate toilet and laundry. ,Well-appointed with ducted heating, air conditioning, alarm, fresh paintwork, garden shed, single garage plus driveway parking. ,Zoned to Highvale Secondary College (STSA), walking distance to Highvale Primary, The Glen Shopping Centre, buses, Glen Waverley Station and reserves with central access to Monash Freeway, EastLink and the Eastern Freeway. ,Photo ID required at all open for inspections.","Steven Zhang,04503650...,Jourdain Creigh,04300122...","Property ID: ,144510436","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b857e787c439ce395c715a7287bf85300c60cc9b700d27055e74d3e1a9ddbb8b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9772eaf3e211f562738e2715b98441e0011fc1e9715298e4c67e2dad2662e38e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9772eaf3e211f562738e2715b98441e0011fc1e9715298e4c67e2dad2662e38e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bccb3ca4f47a68c4ec1e889da5424e4de8bd269eee48b99a13192d9b03e40dcb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b74881f45594ad84f1b644f9003786b1905524ea9df8f0815e742abae34ac139/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144510436
