address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures
"17 Cooper Avenue, Glen Waverley, Vic 3150",AUCTION,5,2,690,2,"Overflowing with accommodation for the growing family, this generous home sits on 690sqm approx. and offers the appeal of a single level layout with polished floorboards highlighting the living spaces and paved entertaining for outdoor gatherings with friends. Prized for its placement in the Brentwood Secondary Catchment (STSA), the home's floorplan sees the front of the home focused on everyday life with the lounge room resting before a gas log fire and flowing through to a spacious dining zone. Stepping through to the kitchen, you'll appreciate the appeal of white cabinetry, polished floorboards and Bosch appliances including a gas stove, oven and dishwasher, while a breakfast bench provides space for quick meals. Catering for when friends drop by the northerly oriented backyard is accessed via sliding doors and opens onto a large, paved area and generous lawn area where children can happily play. Running along the hallway, the five robed bedrooms ensure every family member has their own space and include a master bedroom with wall-to-wall built-in-robes and stylish ensuite, supplemented by a family bathroom with separate toilet. Adding appeal, the home is further complemented by a full-sized laundry, ducted heating, split system air conditioning, high ceilings, garden shed, long side driveway plus a lock-up carport. Situated only a short stroll from Glen Waverley South Primary, Brentwood Secondary, Code Five café and buses, near Caulfield Grammar, Brandon Park Shopping Centre, Jells Park plus EastLink and Monash Freeway. ,Photo ID required at all open for inspections.","Darryl Wickham,04105547...,Alan Zhang,04022000...",144625560,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c03b20dd97e4851ae2709397db8ef4c6fe34b3d0f066bb88fc905037c575de43/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e1b41f74988cefe5b3eff740734839a7c2d83f369af0bf1768383a46615b3aed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e1b41f74988cefe5b3eff740734839a7c2d83f369af0bf1768383a46615b3aed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8966dc192b99f7ccbf392cc9c3eeb706914a068add7d83769712c115e8128df0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1f72fd8605589b79dcef581f69a2f963e0ef8724cb95a858be1e12f05cafb1a0/image.jpg"
"15/60 Avendon Boulevard, Glen Waverley, Vic 3150",FOR SALE,3,2,252,2,"Unbeatable in location and with modern flair, this three bedroom ground floor apartment at Avendon Mansions is not one to miss.,This prestigious tree lined estate suits downsizing retirees, young families , first home buyers and investors wanting to secure this low maintenance living in prime location.,Beyond the lobby entrance , this apartment welcomes you with a spacious open plan living and dining area . Beautifully polished floors and a stunning renovated kitchen with gas cooktop, oven and dishwasher.,The 3 bedrooms are positioned along the hallway, the master bedroom with built in robes with an adjoining updated bathroom. Two additional bedrooms with built in robes all with space heaters and a central updated bathroom with separate bath and shower. Alongside is a large laundry room .Split system , heating and cooling for comfort all year round.,A huge balcony to sit and relax in this peaceful complex. Secure building entry, remote double lock up garage and intercom.,This is a rare opportunity to secure this apartment as many owners live here for many years.,Within the Glen Waverley secondary school zone (STSA),and Syndal South primary zone (STSA) , take a quick stroll to Syndal or Glen Waverley train stations and enjoy the surrounding parklands in the area. A short trip to The Glen and Kingsway dining, and with easy access to M1 and Eastlink freeways, this location truly has it all! ","Natalie Visic,04665270...,Shaun Lim,04499803...",144361092,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9ff6a1798ccb17a48de3826b46ce970e2c6ad97e137552c59179f8e528ddf2bd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f9b394bf3e9cb1f45f350418ca5def9b06dfc501f2636b05ab638469ef9b8900/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f9b394bf3e9cb1f45f350418ca5def9b06dfc501f2636b05ab638469ef9b8900/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/08ddb1891ec2d212d4cf09743e6828fa3c87ac4163ebaced817dfd9cb2fc533e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f6588efb741c5a9a0d0e84f02d949bfa4c261a9c8092b3e0608db9495bcd44c7/image.jpg"
"4 Booran Avenue, Glen Waverley, Vic 3150","Private Sale $1,345,000-$1,395,000",3,1,646,1,"INSPECTION BY APPOINTMNET. Metricon plans available. SEC 32 and Contracts available. ,Presenting as an excellent opportunity to create your ideal home without the expense or delay of building, this 3 bedroom home offers unlimited scope and potential with a live-in now approach in the Brentwood Secondary College Zone (STSA).,Solid as a rock and with a substantial land offering of 646 sqm (approx.) this home boasts a generous living area that features an open fire place, adjoining dining zone which flows to an open courtyard, smart kitchen with quality stainless steel appliances overlooking a bright family/meals space, a family bathroom, 3 well-sized bedrooms each with built-in robe, a private toilet and laundry.,Graced with polished floor boards this home is waiting for your added flair and offers the potential of a charmed and relaxed lifestyle surrounded by native gardens with the benefits of ducted heating, reverse cycle cooling, ceiling fans and a single carport. Positioned on a corner block, you may also see it exciting blank canvas ready to start again or even develop as a multi-unit site (STCA).,In a practical location that's close to Brentwood Secondary College, Brandon Park Shopping Centre and Brandon Park Reserve it also offers easy access to Holmesglen TAFE, Glen Waverley Station and The Glen Shopping Centre with local buses nearby.","Andrew Dimashki,04014577...,Emma Ren,04268916...",142851636,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/97aca29429f8b778c9a5bf302f282eb140a3964bb5460dc3edb3726102cde0ba/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/97aca29429f8b778c9a5bf302f282eb140a3964bb5460dc3edb3726102cde0ba/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/807082961e08f132c4e69e762d1a24bd5c39fa29fe0dbf252f304206d2c4791a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cfdb013482b3ff2b8619ccad0ee18c9e69483f55bcc231cfb3de6d22fb78df64/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a5403d57995474c3702fc368483fd9df73ac9fb68fb0bf79dc84506d5bccf352/image.jpg"
"51 Knights Drive, Glen Waverley, Vic 3150",Contact Agent,4,2,663,4,"Nestled on a sizeable 658sqm block in a leafy pocket of Glen Waverley, this beloved family sanctuary offers endless potential for astute buyers, placing its residents within minutes of vibrant shopping hubs and highly regarded schools.,Move-in ready for keen renovators with the potential for a contemporary transformation, or perfect for savvy developers (STCA) looking to capitalise on the generous land size and superb location, this solid brick veneer home is wonderfully versatile.,Opening with crisp white walls, airy high ceilings and original hardwood flooring, the property's expansive layout is awash with natural light, ,Revealing a formal living/dining room for welcoming guests, a casual family/meal zone with charming slate flooring and a flexible converted garage that serves as a spacious rumpus/studio, there's space for everyone to relax.,Placed centrally, the stone kitchen is equipped with quality 900mm appliances and ample storage for the aspiring chef, while the whisper-quiet deck is ideal for effortless entertaining or savouring a serene morning coffee.,Completing this cherished home, the huge primary bedroom is zoned for peace and privacy with a walk-in robe and soothing fully tiled ensuite, while the three remaining bedrooms feature built-in robes and access to the full monochrome bathroom.,Ducted heating and refrigerated air conditioning provide optimal comfort all year round, plus there's abundant off-street parking, solar panels for energy efficiency and even a selection of assorted fruit trees.,Benefiting from prime convenience, the home is zoned for nearby Camelot Rise Primary School and popular Highvale Secondary College, while five minutes from The Glen's shops and vibrant restaurants.,It's also close to glorious parks and wetlands, prestigious private schools and Vermont South Shopping Centre, plus moments from Glen Waverley Station and major roads for seamless city commuting.,Combining space and comfort with potential and convenience, this is an excellent opportunity in a prized location.,Property specifications:,central vacuum system,Four robed bedrooms, multiple living zones,Covered entertainers' deck and easycare leafy surrounds,Family bathroom with bath, separate w/c, shower has spa jets,Huge primary bedroom has full ensuite and walk-in robe,Stone kitchen has 900mm electric oven and gas cooktop, dishwasher,Close to shops, schools, parks, transport and freeway","Ivy Liu,04331637...,Neo Chen,04338547...",144481120,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e53a30dc27cb6fd405ca7f1d19d99a727404ebcd808582264784fc7a56223b6b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aaba739ddc756e058ffaccd5886c994d2b2e67004d001eb73d48fd0facd1708b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aaba739ddc756e058ffaccd5886c994d2b2e67004d001eb73d48fd0facd1708b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/daf2aafbc6880be39aef743bac2d2db3eb0571006d5a7e9fe5902e0212e5e691/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/30cee7d6347dce19fa89b149220b430e11844bca535a804fe83251e773ed1ab4/image.jpg"
"16 Thomas Arnold Avenue, Glen Waverley, Vic 3150","FOR SALE $1,988,000",5,2,522,2,"A celebration of classic elegance and contemporary craftsmanship, this one owner home is ready to wow with its balance of formal and family spaces, stylish poolside entertaining and placement in the Pinewood Primary and Brentwood Secondary Catchments (STSA). Unmatched in its beauty, the home's elevated façade is preceded by a manicured garden and verandah that guides you inside to where a formal lounge and dining room awaits and displays quality ceilings roses, cornices and skirting boards. Cutting-edge modern style is on show in the kitchen, meals and family room that boasts electric blinds, Roasted Peat floorboards, square set ceilings, a cantilever island breakfast bench, stone benches, filtered water tap, Bosch oven, combi oven/microwave and induction stove, integrated Asko dishwasher plus an integrated fridge/freezer. Sliding doors afford excellent cross ventilation and open onto a private courtyard and north-facing alfresco deck that sits beside the solar heated, inground pool boasting tropical surrounds plus a fitted umbrella. Adding further appeal, the home includes four robed bedrooms plus a study/5th bedroom with fitted electric sit/stand desk, while the master bedroom benefits from a walk-in-robe and renovated ensuite. Enhanced by a fashionable family bathroom, separate toilet, laundry with walk-in linen press, ducted heating, split system air conditioning, ceiling fans, high ceilings, oversized double garage with workbench and storage along with a rear roller door for trailer and recreational vehicle storage. Set in a prestigious pocket that's central to Pinewood Primary, Glen Waverley Secondary, Monash Uni, Pinewood Village, Monash Aquatic Centre, The Glen Shopping Centre, buses, trains plus EastLink and Monash Freeway. ,Photo ID required at all open for inspections.","Alan Zhang,04022000...,Darryl Wickham,04105547...",144361604,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b92dd31909178a227810170c1ceecbc0424515a6897cf63e2b563c482d302d8c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b92dd31909178a227810170c1ceecbc0424515a6897cf63e2b563c482d302d8c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4352c3f55a6be29ecce1583f71fed720e67f0dc949d2a02fd3c9f6de2f7caab5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a2f853706449e9c247e8eaa94e77f4c1b3b5d37246aa4604730203fb0f7cd191/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9f16b242428faeb069a5cf2bfcebc7750dacfac8e4a60866b7272f50ba6a799e/image.jpg"
"1/518 Highbury Road, Glen Waverley, Vic 3150",Contact Agent,3,2,313,2,"This chic and effortlessly maintained unit, set at the forefront of a duo block, offers an attractive proposition for both dwellers and investors. Perfectly situated opposite Burwood East Primary School and within easy reach of Burwood One Shopping Centre, tram and bus services, Syndal train station, and Glendal Primary School, the location is unmatched for convenience.,Enclosed by a fence that enhances privacy, this home welcomes you into a bright and expansive living space. It boasts a seamless flow between the lounge and dining areas, featuring modern floating floors, alongside a tiled family or meal area adjacent to a kitchen outfitted with sleek stainless steel appliances.,The living quarters comprise three bedrooms, with the master bedroom offering the luxury of a walk-in wardrobe and an ensuite, complementing a well-appointed family bathroom and an additional toilet. The residence is fitted with ducted heating and an air conditioning unit, ensuring year-round comfort.,Externally, the property features a double garage situated at the rear, equipped with a remote-controlled door and direct internal access, alongside a secluded courtyard that houses a paved area perfect for entertaining.,Photo ID is required at all open for inspections.","Vita Liu,04120496...,Jichen Quan,04046169...",144496644,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f728e2d03f6494d8a3aae3085e0ad431a6dd5597208a088b1718b9d0462627a5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7fe743bc9e644505105bbdeba8c90fcd6f67d75457d22cc1e721e7081b93966e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7fe743bc9e644505105bbdeba8c90fcd6f67d75457d22cc1e721e7081b93966e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9034993e7c4c7035e4a4530884bb8f05e4d3b033f872dbfb0fb9f063ad688377/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/099bcfc666832dc0d3f97d4644ea54e105551f1d07c2ec1f170a6e47c32598ec/image.jpg"
"14 Kiah Street, Glen Waverley, Vic 3150",AUCTION THIS SATURDAY AT 12PM,5,4,450,2,"Reflecting high-end glamour in the Glendal Primary and Glen Waverley Secondary Zones (STSA), this modern mansion affords a lifestyle of luxury with every element thoughtfully crafted to maximize functionality and style. ,Entering via double doors, you'll be captivated by the home's fusion of quality and class with coffered ceilings and glamorous floorboards highlighting the formal lounge room that's focused toward a gas log fire. ,A fabulous theatre room adds a touch of cinematic romance complete with a projector, screen and speakers, while the open plan living, dining and kitchen indulges with its premium palette of materials. Here waterfall marble benches headline the space and are complemented by a full-array of Smeg appliances including an integrated dishwasher, oven, gas stove, coffee machine and microwave, while a 2nd kitchen/butler's pantry adds to the luxury and boasts its own Smeg appliances. ,Ensuring the synergy between inside and out is effortless, stacker sliding doors extend onto an alfresco zone with Ziptrak blinds and built-in outdoor kitchen, accompanied by a landscaped backyard. ,Shimmering above the wide staircase, a chandelier invites you up to the rumpus room, kitchenette and four of the five bedrooms, including a master bedroom with balcony, spa ensuite and dressing room, while a Jack & Jill bathroom connects two of the bedrooms accompanied by a 3rd bathroom with toilet and floor-to-ceiling tiles. The ground floor guest/5th bedroom further enhances the home and enjoys its own walk-in-robe and ensuite, additionally supplemented by a powder room and laundry. ,Equipped with a long list of inclusions such as ducted heating/air conditioning, ducted vacuum, alarm, video intercom, CCTV cameras, solar panels, high ceilings, auto driveway gates plus a double garage with internal access. ,In a gold class location, walking distance to Glendal Primary, Glen Waverley Secondary, The Glen Shopping Centre, Glen Waverley Station, buses and Glen Waverley North Reserve, with central access to Monash Freeway, EastLink and the Eastern Freeway. ","Eric Liu 刘闯,04101024...,Ming Xu,04006556...",144504544,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8f58bd02b0db2315f5b69ac82c8617fe8e4345109c1cbadceab4bc91e17731c3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/56e4159d640649c75023015e1c9dbd16a7fa25e11fd9457ac6ca7d1f418220c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/56e4159d640649c75023015e1c9dbd16a7fa25e11fd9457ac6ca7d1f418220c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cfcaa4b4e74a6be172590159e419a873db04eb9c750c9dd0fdcd10fca5216f4f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/777c1e0e23aa08284c6a10737d65dd4837a6b8478936b7627802e4d1e1efbb24/image.jpg"
"Address available on request, Glen Waverley, Vic 3150",Contact Agent,5,5,745,2,"**FOR MORE INFORMATION PLEASE CONTACT ON KERRY HUANG: 0450 989 955**,**This property is open for inspection. In accordance to the Victorian Government guidelines, only fully vaccinated people will be able to attend the open for inspection/and auction for this property. Please ensure to scan the QR code at the property and present your proof of vaccination prior to entry.**,Majestically elevated and embracing magnificent Ranges views, this striking family home has been comprehensively renovated to deliver luxury and style in the dual school catchments of Glen Waverley Secondary and Mount View Primary School. ,Beyond the glass panelled front door, the home opens to reveal a sumptuous living room that's enriched with a picture window framing views and accompanied by a spacious study/home office with excellent walk-in storage. Rising upstairs, a spacious lounge and dining room awaits your entertainment enjoyment and offers the appeal of a fire place plus multiple doors that extend out onto the fabulous front balcony with breathtaking Ranges views. The modern kitchen boasts quality appliances and rests alongside a spacious meals zone, while a private family room spans out onto the northerly oriented entertaining deck with Bali hut and adjoining low-maintenance backyard. Carried over the two levels, there are five bedrooms, including a master bedroom with built-in-robe and ensuite, supplemented by two designer bathrooms each with a toilet plus a separate 4th toilet and full-sized laundry with workbench. Further enhanced by ducted heating, split system air conditioning, high ceilings plus excellent off-street parking. ,Placed in the prized GWSC and Mount View Primary Catchments, within walking distance to The Glen Shopping Centre and Glen Waverley Train Station, near Monash and EastLink Freeways.,*Photo ID and mask are required on inspection.,*Due to COVID regulation and attendees limitations, attendees must register prior to attendance.,COVID ADVICE:,*All inspection attendees are required to wear a mask or face covering. Our Agents reserve the right to deny access to attendees where Covid instructions have not been adhered to.*,With the well being of and health of our staff, residents, clients and contractors as our main priority it is our responsibility to advise of the following processes we are implementing in line with the State Government and WHO regulations to prevent the spread of Covid-19:,Should you be experiencing any of the following, we request that you do not enter the property and advise our Agents before scheduling an inspection:,Are showing any symptoms of illness/cold/flu,Have tested positive or been in contact with someone who has Covid-19,Have returned from travel overseas the last 14 days,Are currently under quarantine,We thank you for your attention and respecting the health and safety of our workplace.","Kerry Huang,04509899...,Joyce Liu,04669688...",139687243,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5f15b69e682e41d438bfb76834d6237b1a1d594cdad1f88512e10c69e73f6a74/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5f15b69e682e41d438bfb76834d6237b1a1d594cdad1f88512e10c69e73f6a74/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a37f0674653eafc8cf434913db986dbea36d8193bbb636b3ac2918fc0345379a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agent/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1823338fa6e3b42776b5b1acf906295c8567cc057b8d982e24afed2ca10f15a1/image.jpg"
"8 Moylan Road, Glen Waverley, Vic 3150",Contact Agent,6,3,725,2,"Occupying a prime corner allotment of 725sqm (approx) with vast 19.8m frontage, this 4 bedroom, 2 bathroom home plus fully self-contained 2 bedroom granny flat presents a wealth of opportunity just waiting to be explored. Sure to capture the attention of families, investors and developers, it offers excellent scope to breathe fresh life and completely renovate, or wipe the slate and build your dream residence or multiple townhouses, capitalising on dual street frontages (STCA). Lease out whilst planning for the future and make the most of a sought-after location within the Glendal Primary and GWSC zones, walking distance to Wesley College, The Glen Shopping Centre Glen Waverley train station, Glen Waverley North Reserve and close to Monash and EastLink Freeways.,*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.","Mannie Psarakis,04496567...,Zack Song,04303902...",144627832,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0a65ad2dca15b77fb967410e7559b2883a09f610bc9e20eee65b81ef8ddff0c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e59fdbc031c3b68b6c91e6cfdcf8f86136ed66876d87088d9c3d9bab54990d6c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e59fdbc031c3b68b6c91e6cfdcf8f86136ed66876d87088d9c3d9bab54990d6c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dea26407f9212801a4f52af64e3c9d47b1139f10fa272935257a4654828ed351/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/54054112df46fe3b34261ab1b6261fdd19e41354c8e1f80f9c07149c6bf4e18c/image.jpg"
"25 Glen Court, Glen Waverley, Vic 3150",FORTHCOMING AUCTION,4,2,759,4,"Located in the double school catchments of Mount View Primary and GWSC (STSA) within moments from The Glen, this free-flowing home captures plenty of space with formal, family and leisure rooms designed for the family and detailed with Dandenong Ranges views.,Situated on 758sqm approx, this four bedrooms complete this family-friendly package. Fitted with a brilliant bank of windows, the lounge room draws your vision out to the mountains as you wander inside, connecting effortlessly through to a dining room that's accompanied by a display cabinet. A master bedroom boasting a built-in-robe and ensuite, supplemented by a neutrally toned family bathroom, powder room and laundry. The essence of the kitchen, meals and family room is open plan, while the rumpus room stretches the home out onto a covered alfresco deck and private backyard for outdoor pleasure. . The house is comforted by ducted heating, evaporative cooling plus an air conditioner, along with the added benefits of an alarm, water tank, high ceilings .,Centrally situated so you can easily walk to Mount View Primary, Glen Waverley Secondary, restaurants, The Glen Shopping Centre, buses, Glen Waverley Train Station and parkland, near Monash and EastLink Freeways.,Photo ID required at all open inspections","Zeng Shi,04095201...,Olivia Mo,04318649...",144497880,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ccae53f4a3218149e3de9fd907471027f3781b567bf51eede0d44f1d985de98/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4d3741abf08e32b168c85c07277da023ccddb096925a025bc5c84e34f5378302/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4d3741abf08e32b168c85c07277da023ccddb096925a025bc5c84e34f5378302/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/28b21e8c55baa4ad0b8ad104a5978cf1bddd7d73ea77afc8bcc1ca4844f755ba/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/65335f2850cccf5a3a5318aeb6e115c7ab5fe71ff682930b954ca3be10ab06d3/image.jpg"
"31 Olinda Street, Glen Waverley, Vic 3150",Contact Agent,4,2,730,2,"Brilliantly positioned in one Glen Waverley’s most highly desired pockets, this comfortable 4 bedroom, 2 bathroom home delivers options for pursuing new home site plans (STCA), renovation or capitalizing on development potential for two 31/32sqm luxurious streetfront townhouses. Ideal for families seeking a move in ready or lease out opportunity, immaculate spaces provide an inviting lounge, kitchen, family/meals area with raked ceilings, ducted heating, split system AC, huge rear garden, tandem garage and ample off street parking. Zoned for Brentwood Secondary College, close to Glen Waverley South Primary, Brandon Park Shopping Centre, The Glen, Central Reserve, Glen Waverley train station, Wesley College and Freeway access.","Lily Chen,04037078...,Vincent Chang,04210300...",144231548,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/abeee3b6a384ea0b8cdcdb996ca37960b95790c8aac22f17f51f81d75ad99dcc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e5eadb3557a38990abf652f7afc905b325df7cf995840b34cb2600ba5bdb99e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4e5eadb3557a38990abf652f7afc905b325df7cf995840b34cb2600ba5bdb99e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/184678577a3080748b929484092fd7e6ccb9dd45f73055e29515d4101d211b93/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ea5e3b04e2482bca21daa48fd13137daa6d456b70d8a2a54bfb5c808f1f4eaa4/image.jpg"
"27 Kennedy Street, Glen Waverley, Vic 3150",Private Sale,3,1,727,1,"Located in a remarkable area with unlimited potential, this rectangular allotment boasts an expansive frontage of around 17.7 meters and spans approximately 727 square meters. Offering breathtaking views of the mountains, this block features north-facing backyards, making it an ideal spot for building your dream home. Alternatively, this prime location within the highly sought-after Glen Waverley Secondary School Zone (STSA) offers a great opportunity for smart investors, builders, and developers to leave their mark.,This property is situated on one of the most convenient streets in Glen Waverley, providing easy access to various amenities such as The Glen Shopping Centre, Glen Waverley Secondary, Glen Waverley Primary, Glen Waverley Train Station, Kingsway restaurants, as well as the Monash and EastLink Freeways.","Qiao Tang,04257199...",141746368,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ccbbc51bb574f733334e01f9d470293f4ff9c44599df1b9a088cd9ed1b5115d1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b82d72a77a12329c86ae7b5565780dec319bc0b13a55f7799f04f00ffe0a8948/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b82d72a77a12329c86ae7b5565780dec319bc0b13a55f7799f04f00ffe0a8948/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/81387ca75bb69d06cb09859a80a0c3cdea59fe1ef00ae23737afe45234740288/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2f59b430a89e987c9628713e379f1420c6d0eb01e6ede5ad61e9ef531d8022d4/image.jpg"
"96 Callaghan Avenue, Glen Waverley, Vic 3150",AUCTION,5,3,664,2,"Aptly named 'Dynasty' by Henley Homes, you can expect wall-to-wall regal appeal across the grand proportions of this stately family home. Set in a leafy cul de sac that lets you walk to Monash Aquatic Centre and the street's own reserve and duck pond, the home's bold corner street presence is matched inside by a stylish top-to-toe refresh in timeless grey tones for blissful family living in the school zone for Pinewood Primary and Brentwood Secondary College (STSA).,Set over two light-filled levels, the expansive layout offers 4 spacious living rooms in which to work, rest and play – with soft carpet underfoot in the lounge and rumpus, and easy-care hybrid floors drawing across the family wing.,Subway tiling and top tier new appliances grace the contemporary kitchen, with plenty of indoor-outdoor connection across to the outdoor room and its dramatic skylights.,For intergenerational living and remote working, the ground floor office/bedroom sits alongside a full bathroom – ideal as a quiet work-from-home space or as a convenient ground floor living retreat for live-in parents.,Open rainfall showers, stunning tiling, and floating vanities enhance the luxury of the top floor bathrooms, with the street facing master suite enjoying its own balcony set amid the treetops. ,A fully renovated residence close to schools, the pool, Pinewood Village and The Glen, and picturesque walking tracks promises absolute sanctuary for the family, ready to welcome its next family 'Dynasty' to the top end of Callaghan, a mere 500m (7min walk) to Monash Aquatic & Recreation Centre and Glen Waverley Tennis Club like your very own country club estate.","Jourdain Creigh,04300122...,Anita Meng,04100008...",144509648,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1a2006e1f7d3f1a8fa3cc225f61dbd6c20aafd407dc1bb72a65d2aff87e53d8e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ccd9ad77c6ab866f9a70ff9e7415818c4f284fdede03bb35d8d4a894e5e09936/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ccd9ad77c6ab866f9a70ff9e7415818c4f284fdede03bb35d8d4a894e5e09936/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/be829587b419f022082ba0ea0a36661311a5357ca3cd7492992850f4c8a8d6e1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c9b5fc8f3f0f0c5aebed95e5ff9be4ad93ef698260db9b6978afa55f85bd1c06/image.jpg"
